"Match","Position","Points"
"1","20","0"
"2","18","0"
"3","20","0"
"4","19","1"
"5","20","1"
"6","19","1"
"7","18","4"
"8","18","4"
"9","18","4"
"10","19","4"
"11","19","4"
"12","19","4"
"13","20","4"
"14","19","7"
"15","19","7"
"16","19","8"
"17","19","8"
"18","19","11"
"19","19","11"
"20","19","11"
"21","19","12"
"22","19","12"
"23","19","13"
"24","19","13"
"25","19","13"
"26","19","13"
"27","19","13"
"28","19","14"
"29","19","17"
"30","19","18"
"31","19","19"
"32","19","19"
"33","19","20"
"34","19","23"
"35","19","24"
"36","19","24"
"37","19","24"
"38","19","24"
