"Match","Position","Points"
"1","11","1"
"2","15","1"
"3","18","1"
"4","19","1"
"5","20","1"
"6","16","4"
"7","12","7"
"8","12","8"
"9","13","8"
"10","15","8"
"11","15","8"
"12","15","9"
"13","17","9"
"14","19","9"
"15","19","9"
"16","17","12"
"17","17","12"
"18","18","12"
"19","18","12"
"20","18","15"
"21","16","18"
"22","15","21"
"23","16","22"
"24","15","23"
"25","17","24"
"26","15","27"
"27","14","30"
"28","15","30"
"29","16","30"
"30","17","30"
"31","17","30"
"32","17","33"
"33","14","36"
"34","14","39"
"35","15","40"
"36","15","40"
"37","15","40"
"38","15","40"
