"Match","Position","Points"
"1","4","3"
"2","3","6"
"3","3","7"
"4","5","10"
"5","4","13"
"6","5","14"
"7","3","17"
"8","2","20"
"9","2","21"
"10","2","24"
"11","3","24"
"12","2","27"
"13","1","30"
"14","1","33"
"15","1","36"
"16","2","36"
"17","1","39"
"18","1","40"
"19","2","40"
"20","4","40"
"21","3","43"
"22","2","46"
"23","2","49"
"24","3","52"
"25","2","55"
"26","3","58"
"27","3","61"
"28","1","64"
"29","2","65"
"30","1","68"
"31","1","71"
"32","2","71"
"33","1","74"
"34","1","77"
"35","1","80"
"36","1","83"
"37","1","86"
"38","2","89"
