"Match","Position","Points"
"1","1","3"
"2","2","6"
"3","1","9"
"4","1","12"
"5","1","15"
"6","1","15"
"7","1","18"
"8","1","21"
"9","1","24"
"10","1","27"
"11","1","28"
"12","1","31"
"13","1","34"
"14","1","37"
"15","1","40"
"16","1","43"
"17","1","44"
"18","1","47"
"19","1","50"
"20","1","50"
"21","1","51"
"22","2","51"
"23","1","54"
"24","1","57"
"25","1","60"
"26","1","63"
"27","1","66"
"28","1","69"
"29","1","72"
"30","1","73"
"31","1","74"
"32","1","75"
"33","1","75"
"34","1","78"
"35","2","81"
"36","2","81"
"37","2","81"
"38","2","84"
