"Match","Position","Points"
"1","15","0"
"2","17","0"
"3","11","3"
"4","9","6"
"5","7","9"
"6","6","12"
"7","5","15"
"8","4","18"
"9","4","21"
"10","4","22"
"11","5","23"
"12","5","24"
"13","5","27"
"14","4","30"
"15","5","31"
"16","5","34"
"17","5","34"
"18","5","37"
"19","5","38"
"20","5","38"
"21","5","41"
"22","5","41"
"23","5","44"
"24","5","47"
"25","6","47"
"26","6","50"
"27","4","53"
"28","4","56"
"29","5","57"
"30","4","60"
"31","3","63"
"32","4","63"
"33","4","66"
"34","4","66"
"35","5","66"
"36","5","66"
"37","5","67"
"38","5","70"
