"Match","Position","Points"
"1","1","3"
"2","6","3"
"3","13","3"
"4","14","3"
"5","11","6"
"6","8","9"
"7","8","12"
"8","8","13"
"9","5","16"
"10","6","17"
"11","6","20"
"12","7","20"
"13","6","23"
"14","5","26"
"15","7","26"
"16","7","26"
"17","6","29"
"18","7","29"
"19","8","29"
"20","9","29"
"21","10","29"
"22","7","32"
"23","9","33"
"24","7","36"
"25","7","37"
"26","8","37"
"27","8","40"
"28","10","40"
"29","8","43"
"30","8","44"
"31","8","47"
"32","6","50"
"33","7","50"
"34","7","53"
"35","6","56"
"36","6","57"
"37","7","57"
"38","7","60"
