"Match","Position","Points"
"1","4","3"
"2","4","4"
"3","6","5"
"4","7","6"
"5","11","6"
"6","11","7"
"7","10","8"
"8","7","11"
"9","5","14"
"10","6","15"
"11","6","18"
"12","4","21"
"13","4","24"
"14","3","27"
"15","3","30"
"16","2","33"
"17","3","34"
"18","3","35"
"19","3","38"
"20","3","39"
"21","4","40"
"22","4","41"
"23","4","41"
"24","5","41"
"25","5","44"
"26","5","47"
"27","3","50"
"28","3","53"
"29","3","56"
"30","3","56"
"31","3","59"
"32","3","62"
"33","3","65"
"34","3","65"
"35","3","66"
"36","3","69"
"37","3","70"
"38","4","71"
