"Match","Position","Points"
"1","16","0"
"2","12","1"
"3","16","1"
"4","18","1"
"5","18","1"
"6","18","2"
"7","18","2"
"8","19","2"
"9","20","2"
"10","19","3"
"11","17","6"
"12","14","9"
"13","13","12"
"14","15","12"
"15","14","13"
"16","15","13"
"17","14","16"
"18","15","17"
"19","15","17"
"20","15","18"
"21","15","18"
"22","18","18"
"23","17","21"
"24","14","24"
"25","15","24"
"26","16","25"
"27","15","28"
"28","13","31"
"29","14","31"
"30","13","34"
"31","13","35"
"32","14","35"
"33","15","35"
"34","13","38"
"35","12","41"
"36","13","42"
"37","14","42"
"38","13","45"
