"Match","Position","Points"
"1","20","0"
"2","10","3"
"3","7","6"
"4","10","6"
"5","7","9"
"6","6","12"
"7","5","15"
"8","5","16"
"9","5","19"
"10","5","22"
"11","5","22"
"12","5","25"
"13","4","28"
"14","4","29"
"15","3","32"
"16","3","35"
"17","3","38"
"18","2","39"
"19","3","39"
"20","2","42"
"21","3","43"
"22","4","43"
"23","4","46"
"24","5","46"
"25","4","49"
"26","4","52"
"27","4","55"
"28","4","55"
"29","4","56"
"30","4","59"
"31","4","59"
"32","4","60"
"33","4","63"
"34","4","66"
"35","4","67"
"36","4","67"
"37","4","68"
"38","4","68"
