"Match","Position","Points"
"1","7","1"
"2","11","2"
"3","4","5"
"4","11","5"
"5","6","8"
"6","10","8"
"7","6","11"
"8","8","11"
"9","9","11"
"10","10","12"
"11","9","15"
"12","7","18"
"13","7","19"
"14","8","19"
"15","9","19"
"16","8","22"
"17","7","25"
"18","7","28"
"19","6","31"
"20","6","31"
"21","7","31"
"22","6","32"
"23","7","35"
"24","6","38"
"25","6","39"
"26","7","39"
"27","8","39"
"28","10","39"
"29","10","39"
"30","10","42"
"31","9","45"
"32","9","45"
"33","10","45"
"34","10","45"
"35","10","48"
"36","9","51"
"37","10","52"
"38","10","52"
