"Match","Position","Points"
"1","6","3"
"2","11","3"
"3","11","4"
"4","13","4"
"5","9","7"
"6","10","8"
"7","13","8"
"8","12","11"
"9","13","11"
"10","14","12"
"11","14","12"
"12","16","12"
"13","14","15"
"14","15","15"
"15","12","18"
"16","11","21"
"17","12","21"
"18","13","21"
"19","14","21"
"20","14","24"
"21","14","24"
"22","13","25"
"23","13","26"
"24","12","29"
"25","13","29"
"26","12","32"
"27","12","35"
"28","12","35"
"29","12","38"
"30","12","39"
"31","13","39"
"32","13","39"
"33","12","42"
"34","12","42"
"35","14","43"
"36","13","44"
"37","15","44"
"38","14","47"
