"Match","Position","Points"
"1","2","3"
"2","3","6"
"3","3","7"
"4","6","7"
"5","5","10"
"6","7","10"
"7","7","13"
"8","5","16"
"9","6","17"
"10","6","20"
"11","6","20"
"12","6","20"
"13","8","20"
"14","9","20"
"15","6","23"
"16","8","23"
"17","11","23"
"18","8","26"
"19","11","26"
"20","12","26"
"21","12","27"
"22","12","27"
"23","12","30"
"24","10","33"
"25","10","33"
"26","11","33"
"27","10","34"
"28","12","34"
"29","12","34"
"30","12","37"
"31","11","38"
"32","12","38"
"33","13","38"
"34","12","41"
"35","13","41"
"36","14","42"
"37","13","45"
"38","14","45"
