"Match","Position","Points"
"1","17","0"
"2","17","0"
"3","18","0"
"4","19","0"
"5","19","3"
"6","19","3"
"7","19","4"
"8","19","4"
"9","19","7"
"10","19","7"
"11","16","10"
"12","13","13"
"13","12","14"
"14","15","14"
"15","14","15"
"16","14","16"
"17","14","16"
"18","16","16"
"19","18","16"
"20","18","17"
"21","14","20"
"22","14","21"
"23","13","24"
"24","12","25"
"25","10","28"
"26","9","31"
"27","10","31"
"28","11","32"
"29","11","33"
"30","12","33"
"31","10","36"
"32","10","37"
"33","11","38"
"34","11","38"
"35","11","38"
"36","12","38"
"37","12","41"
"38","12","44"
