"Match","Position","Points"
"1","20","0"
"2","20","0"
"3","20","0"
"4","20","0"
"5","16","3"
"6","17","4"
"7","13","7"
"8","15","7"
"9","15","7"
"10","13","8"
"11","13","11"
"12","13","12"
"13","13","12"
"14","13","15"
"15","12","18"
"16","10","21"
"17","9","24"
"18","12","24"
"19","9","27"
"20","11","27"
"21","10","28"
"22","9","31"
"23","10","31"
"24","11","31"
"25","12","32"
"26","10","33"
"27","9","36"
"28","10","36"
"29","9","39"
"30","9","39"
"31","9","42"
"32","11","42"
"33","11","42"
"34","11","42"
"35","11","43"
"36","11","46"
"37","11","49"
"38","10","52"
