"Match","Position","Points"
"1","20","0"
"2","20","0"
"3","20","0"
"4","18","3"
"5","18","4"
"6","18","4"
"7","15","7"
"8","14","8"
"9","17","8"
"10","16","9"
"11","17","9"
"12","18","9"
"13","18","10"
"14","18","10"
"15","19","10"
"16","18","13"
"17","19","14"
"18","15","17"
"19","17","17"
"20","17","18"
"21","16","21"
"22","15","22"
"23","11","25"
"24","11","26"
"25","10","27"
"26","12","27"
"27","12","30"
"28","13","30"
"29","14","30"
"30","16","30"
"31","14","33"
"32","14","34"
"33","14","35"
"34","15","35"
"35","15","35"
"36","15","38"
"37","15","39"
"38","13","42"
