"Match","Position","Points"
"1","8","1"
"2","6","4"
"3","1","7"
"4","1","10"
"5","6","10"
"6","7","10"
"7","7","13"
"8","7","14"
"9","9","14"
"10","9","14"
"11","11","14"
"12","9","17"
"13","9","20"
"14","9","21"
"15","9","24"
"16","9","24"
"17","8","27"
"18","6","30"
"19","6","33"
"20","6","34"
"21","6","35"
"22","6","36"
"23","7","36"
"24","8","36"
"25","8","36"
"26","8","39"
"27","7","42"
"28","7","43"
"29","7","44"
"30","7","44"
"31","7","45"
"32","7","48"
"33","8","48"
"34","8","48"
"35","8","49"
"36","9","49"
"37","9","52"
"38","9","52"
