"Match","Position","Points"
"1","10","1"
"2","15","1"
"3","8","4"
"4","11","4"
"5","14","5"
"6","14","5"
"7","11","8"
"8","11","11"
"9","10","12"
"10","11","12"
"11","10","15"
"12","10","16"
"13","10","16"
"14","10","19"
"15","10","19"
"16","13","19"
"17","11","22"
"18","11","22"
"19","11","25"
"20","10","28"
"21","8","31"
"22","10","31"
"23","11","31"
"24","10","34"
"25","10","35"
"26","11","36"
"27","11","39"
"28","11","40"
"29","10","43"
"30","9","44"
"31","9","47"
"32","9","47"
"33","9","48"
"34","8","51"
"35","7","54"
"36","7","57"
"37","6","60"
"38","6","63"
