"Match","Position","Points"
"1","16","0"
"2","12","3"
"3","6","6"
"4","3","9"
"5","3","10"
"6","3","13"
"7","4","13"
"8","5","13"
"9","4","16"
"10","4","19"
"11","4","22"
"12","3","25"
"13","3","26"
"14","3","29"
"15","3","32"
"16","3","32"
"17","3","35"
"18","3","38"
"19","3","39"
"20","3","42"
"21","2","45"
"22","3","46"
"23","3","47"
"24","3","50"
"25","4","50"
"26","4","50"
"27","4","53"
"28","5","53"
"29","5","53"
"30","5","56"
"31","5","56"
"32","5","57"
"33","5","60"
"34","5","63"
"35","5","66"
"36","5","69"
"37","5","70"
"38","5","70"
