"Match","Position","Points"
"1","1","3"
"2","1","6"
"3","2","9"
"4","2","12"
"5","1","15"
"6","3","16"
"7","3","17"
"8","2","20"
"9","3","21"
"10","2","24"
"11","2","27"
"12","3","28"
"13","4","28"
"14","3","31"
"15","4","31"
"16","4","34"
"17","4","37"
"18","4","37"
"19","4","40"
"20","4","43"
"21","4","44"
"22","4","47"
"23","4","47"
"24","5","47"
"25","4","50"
"26","6","50"
"27","6","53"
"28","6","56"
"29","6","57"
"30","6","57"
"31","6","60"
"32","5","63"
"33","3","66"
"34","4","66"
"35","4","67"
"36","4","68"
"37","3","71"
"38","3","72"
