"Match","Position","Points"
"1","15","0"
"2","8","3"
"3","14","3"
"4","9","6"
"5","8","7"
"6","11","7"
"7","11","8"
"8","13","9"
"9","15","10"
"10","16","10"
"11","12","13"
"12","15","13"
"13","15","13"
"14","16","13"
"15","17","13"
"16","17","14"
"17","17","14"
"18","17","14"
"19","17","17"
"20","16","20"
"21","17","20"
"22","17","20"
"23","17","21"
"24","17","21"
"25","16","24"
"26","17","24"
"27","17","24"
"28","17","24"
"29","17","25"
"30","17","26"
"31","16","29"
"32","17","29"
"33","16","30"
"34","17","30"
"35","17","30"
"36","17","33"
"37","17","33"
"38","17","36"
