"Match","Position","Points"
"1","4","3"
"2","9","3"
"3","9","4"
"4","5","7"
"5","5","8"
"6","4","11"
"7","3","14"
"8","3","17"
"9","3","20"
"10","3","20"
"11","3","23"
"12","4","23"
"13","4","24"
"14","5","24"
"15","6","25"
"16","5","28"
"17","4","31"
"18","7","31"
"19","5","34"
"20","5","37"
"21","5","40"
"22","5","41"
"23","5","44"
"24","5","45"
"25","5","48"
"26","5","49"
"27","3","52"
"28","4","55"
"29","4","58"
"30","3","61"
"31","4","64"
"32","4","67"
"33","4","67"
"34","4","68"
"35","4","71"
"36","4","71"
"37","3","74"
"38","3","77"
