"Match","Position","Points"
"1","6","3"
"2","2","6"
"3","2","9"
"4","5","9"
"5","6","9"
"6","5","12"
"7","4","15"
"8","3","18"
"9","4","21"
"10","5","21"
"11","4","24"
"12","4","27"
"13","3","30"
"14","5","30"
"15","3","33"
"16","3","36"
"17","3","39"
"18","3","42"
"19","2","45"
"20","2","45"
"21","2","48"
"22","3","48"
"23","3","51"
"24","3","54"
"25","2","57"
"26","3","60"
"27","3","60"
"28","3","60"
"29","3","61"
"30","3","61"
"31","3","61"
"32","3","64"
"33","3","67"
"34","3","67"
"35","3","70"
"36","3","70"
"37","3","70"
"38","4","71"
