"Match","Position","Points"
"1","8","1"
"2","5","4"
"3","2","7"
"4","2","10"
"5","2","13"
"6","4","14"
"7","2","17"
"8","1","20"
"9","1","23"
"10","1","26"
"11","2","26"
"12","3","26"
"13","5","26"
"14","5","27"
"15","5","27"
"16","5","30"
"17","5","33"
"18","4","36"
"19","5","36"
"20","5","39"
"21","5","40"
"22","4","43"
"23","5","44"
"24","4","47"
"25","5","47"
"26","5","50"
"27","5","53"
"28","5","53"
"29","5","56"
"30","5","57"
"31","4","60"
"32","5","60"
"33","5","60"
"34","5","60"
"35","5","60"
"36","5","63"
"37","5","63"
"38","5","66"
