"Match","Position","Points"
"1","1","3"
"2","2","6"
"3","1","9"
"4","1","12"
"5","1","15"
"6","1","18"
"7","1","18"
"8","3","18"
"9","1","21"
"10","3","24"
"11","1","27"
"12","1","28"
"13","2","29"
"14","3","30"
"15","4","30"
"16","4","33"
"17","4","34"
"18","4","37"
"19","3","40"
"20","2","43"
"21","2","46"
"22","2","49"
"23","2","52"
"24","3","53"
"25","2","56"
"26","2","59"
"27","2","62"
"28","3","63"
"29","3","64"
"30","3","67"
"31","3","70"
"32","1","73"
"33","2","76"
"34","2","79"
"35","2","82"
"36","1","85"
"37","1","88"
"38","1","91"
