"Match","Position","Points"
"1","2","3"
"2","5","4"
"3","3","7"
"4","2","10"
"5","1","13"
"6","1","16"
"7","1","19"
"8","1","22"
"9","1","25"
"10","1","28"
"11","1","31"
"12","1","34"
"13","1","37"
"14","1","40"
"15","1","43"
"16","1","46"
"17","1","49"
"18","1","52"
"19","1","55"
"20","1","58"
"21","1","59"
"22","1","62"
"23","1","62"
"24","1","65"
"25","1","68"
"26","1","69"
"27","1","72"
"28","1","75"
"29","1","78"
"30","1","81"
"31","1","84"
"32","1","84"
"33","1","87"
"34","1","90"
"35","1","93"
"36","1","94"
"37","1","97"
"38","1","100"
