Season,Match,Position,Date
2017_18,1,0.0,2017-08-12
2017_18,2,2.0,2017-08-21
2017_18,3,5.0,2017-08-26
2017_18,4,3.0,2017-09-09
2017_18,5,2.0,2017-09-16
2017_18,6,1.0,2017-09-23
2017_18,7,1.0,2017-09-30
2017_18,8,1.0,2017-10-14
2017_18,9,1.0,2017-10-21
2017_18,10,1.0,2017-10-28
2017_18,11,1.0,2017-11-05
2017_18,12,1.0,2017-11-18
2017_18,13,1.0,2017-11-26
2017_18,14,1.0,2017-11-29
2017_18,15,1.0,2017-12-03
2017_18,16,1.0,2017-12-10
2017_18,17,1.0,2017-12-13
2017_18,18,1.0,2017-12-16
2017_18,19,1.0,2017-12-23
2017_18,20,1.0,2017-12-27
2017_18,21,1.0,2017-12-31
2017_18,22,1.0,2018-01-02
2017_18,23,1.0,2018-01-14
2017_18,24,1.0,2018-01-20
2017_18,25,1.0,2018-01-31
2017_18,26,1.0,2018-02-03
2017_18,27,1.0,2018-02-10
2017_18,28,1.0,2018-03-01
2017_18,29,1.0,2018-03-04
2017_18,30,1.0,2018-03-12
2017_18,31,1.0,2018-03-31
2017_18,32,1.0,2018-04-07
2017_18,33,1.0,2018-04-14
2017_18,34,1.0,2018-04-22
2017_18,35,1.0,2018-04-29
2017_18,36,1.0,2018-05-06
2017_18,37,1.0,2018-05-09
2017_18,38,1.0,2018-05-13
2018_19,1,1.0,2018-08-12
2018_19,2,5.0,2018-08-19
2018_19,3,1.0,2018-08-25
2018_19,4,2.0,2018-09-01
2018_19,5,3.0,2018-09-15
2018_19,6,3.0,2018-09-22
2018_19,7,2.0,2018-09-29
2018_19,8,1.0,2018-10-07
2018_19,9,1.0,2018-10-20
2018_19,10,1.0,2018-10-29
2018_19,11,1.0,2018-11-04
2018_19,12,1.0,2018-11-11
2018_19,13,1.0,2018-11-24
2018_19,14,1.0,2018-12-01
2018_19,15,1.0,2018-12-04
2018_19,16,1.0,2018-12-08
2018_19,17,2.0,2018-12-15
2018_19,18,1.0,2018-12-22
2018_19,19,2.0,2018-12-26
2018_19,20,3.0,2018-12-30
2018_19,21,2.0,2019-01-03
2018_19,22,2.0,2019-01-14
2018_19,23,2.0,2019-01-20
2018_19,24,2.0,2019-01-29
2018_19,25,2.0,2019-02-03
2018_19,26,2.0,2019-02-06
2018_19,27,1.0,2019-02-10
2018_19,28,1.0,2019-02-27
2018_19,29,2.0,2019-03-02
2018_19,30,1.0,2019-03-09
2018_19,31,1.0,2019-03-30
2018_19,32,1.0,2019-04-03
2018_19,33,1.0,2019-04-14
2018_19,34,2.0,2019-04-20
2018_19,35,1.0,2019-04-24
2018_19,36,1.0,2019-04-28
2018_19,37,1.0,2019-05-06
2018_19,38,1.0,2019-05-12
2022_23,1,1.0,2022-08-07
2022_23,2,4.0,2022-08-13
2022_23,3,1.0,2022-08-21
2022_23,4,2.0,2022-08-27
2022_23,5,2.0,2022-08-31
2022_23,6,2.0,2022-09-03
2022_23,7,2.0,2022-09-17
2022_23,8,1.0,2022-10-02
2022_23,9,2.0,2022-10-08
2022_23,10,1.0,2022-10-16
2022_23,11,2.0,2022-10-22
2022_23,12,2.0,2022-10-29
2022_23,13,1.0,2022-11-05
2022_23,14,1.0,2022-11-12
2022_23,15,2.0,2022-12-28
2022_23,16,2.0,2022-12-31
2022_23,17,2.0,2023-01-05
2022_23,18,2.0,2023-01-14
2022_23,19,2.0,2023-01-19
2022_23,20,2.0,2023-01-22
2022_23,21,2.0,2023-02-05
2022_23,22,2.0,2023-02-12
2022_23,23,2.0,2023-02-15
2022_23,24,1.0,2023-02-18
2022_23,25,2.0,2023-02-25
2022_23,26,2.0,2023-03-04
2022_23,27,2.0,2023-03-11
2022_23,28,2.0,2023-04-01
2022_23,29,2.0,2023-04-08
2022_23,30,2.0,2023-04-15
2022_23,31,2.0,2023-04-26
2022_23,32,2.0,2023-04-30
2022_23,33,1.0,2023-05-03
2022_23,34,1.0,2023-05-06
2022_23,35,1.0,2023-05-14
2022_23,36,1.0,2023-05-21
2022_23,37,1.0,2023-05-24
2022_23,38,1.0,2023-05-28
2023_24,1,1.0,2023-08-11
2023_24,2,1.0,2023-08-19
2023_24,3,2.0,2023-08-27
2023_24,4,1.0,2023-09-02
2023_24,5,1.0,2023-09-16
2023_24,6,1.0,2023-09-23
2023_24,7,1.0,2023-09-30
2023_24,8,1.0,2023-10-08
2023_24,9,3.0,2023-10-21
2023_24,10,1.0,2023-10-29
2023_24,11,3.0,2023-11-04
2023_24,12,1.0,2023-11-12
2023_24,13,1.0,2023-11-25
2023_24,14,2.0,2023-12-03
2023_24,15,3.0,2023-12-06
2023_24,16,4.0,2023-12-10
2023_24,17,4.0,2023-12-16
2023_24,18,4.0,2023-12-27
2023_24,19,4.0,2023-12-30
2023_24,20,3.0,2024-01-13
2023_24,21,2.0,2024-01-31
2023_24,22,2.0,2024-02-05
2023_24,23,2.0,2024-02-10
2023_24,24,2.0,2024-02-17
2023_24,25,3.0,2024-02-20
2023_24,26,2.0,2024-02-24
2023_24,27,2.0,2024-03-03
2023_24,28,2.0,2024-03-10
2023_24,29,3.0,2024-03-31
2023_24,30,3.0,2024-04-03
2023_24,31,3.0,2024-04-06
2023_24,32,3.0,2024-04-13
2023_24,33,1.0,2024-04-25
2023_24,34,2.0,2024-04-28
2023_24,35,2.0,2024-05-04
2023_24,36,2.0,2024-05-11
2023_24,37,1.0,2024-05-14
2023_24,38,1.0,2024-05-19
