"Match","Position","Points"
"1","5","3"
"2","1","6"
"3","2","7"
"4","3","10"
"5","3","13"
"6","2","16"
"7","1","19"
"8","1","20"
"9","1","23"
"10","1","26"
"11","1","29"
"12","1","32"
"13","1","35"
"14","1","38"
"15","1","41"
"16","2","41"
"17","1","44"
"18","2","44"
"19","3","44"
"20","2","47"
"21","2","50"
"22","2","53"
"23","2","56"
"24","2","56"
"25","2","59"
"26","1","62"
"27","1","65"
"28","2","68"
"29","1","71"
"30","1","74"
"31","1","77"
"32","1","80"
"33","2","83"
"34","1","86"
"35","1","89"
"36","1","92"
"37","1","95"
"38","1","98"
