"Date","Status","Home","Score","","Away","Attd"
"2/12/2017","FT","Arsenal","1","3","Manchester United","59,547"
"","","Lacazette (49')","","","Valencia (4'), Lingard (11', 62')",""
"2/12/2017","FT","Brighton & Hove Albion","1","5","Liverpool","30,634"
"","","Murray (51' pen)","","","Can (30'), Firmino (32', 48'), Coutinho (87'), Dunk (89' og)",""
"2/12/2017","FT","Chelsea","3","1","Newcastle United","41,538"
"","","Hazard (21', 74' pen), Morata (32')","","","Gayle (12')",""
"2/12/2017","FT","Everton","2","0","Huddersfield Town","39,167"
"","","Sigursson (48'), Calvert-Lewin (73')","","","",""
"2/12/2017","FT","Leicester City","1","0","Burnley","30,714"
"","","Gray (7')","","","",""
"2/12/2017","FT","Stoke City","2","1","Swansea City","28,261"
"","","Shaqiri (35'), Biram Diouf (39')","","","Bony (3')",""
"2/12/2017","FT","Watford","1","1","Tottenham Hotspur","20,278"
"","","Kabasele (13')","","","Son (23')",""
"2/12/2017","FT","West Bromwich Albion","0","0","Crystal Palace","23,531"
"3/12/2017","FT","AFC Bournemouth","1","1","Southampton","10,764"
"","","Fraser (40')","","","Austin (61')",""
"3/12/2017","FT","Manchester City","2","1","West Ham United","54,203"
"","","Otamendi (57'), Silva (83')","","","Ogbonna (43')",""
"9/12/2017","FT","Burnley","1","0","Watford","19,479"
"","","Arfield (45')","","","",""
"9/12/2017","FT","Crystal Palace","2","2","AFC Bournemouth","24,823"
"","","Milivojevic (41'), Dann (44')","","","Defoe (11', 45')",""
"9/12/2017","FT","Huddersfield Town","2","0","Brighton & Hove Albion","24,018"
"","","Mounie (12', 43')","","","",""
"9/12/2017","FT","Newcastle United","2","3","Leicester City","52,117"
"","","Joselu (4'), Gayle (72')","","","Mahrez (20'), Gray (60'), Perez (86' og)",""
"9/12/2017","FT","Swansea City","1","0","West Bromwich Albion","19,580"
"","","Bony (80')","","","",""
"9/12/2017","FT","Tottenham Hotspur","5","1","Stoke City","62,202"
"","","Shawcross (21' og), Son (53'), Kane (55', 64'), Eriksen (73')","","","Shawcross (79')",""
"9/12/2017","FT","West Ham United","1","0","Chelsea","56,953"
"","","Arnautovic (6')","","","",""
"10/12/2017","FT","Liverpool","1","1","Everton","53,082"
"","","Salah (42')","","","Rooney (76' pen)",""
"10/12/2017","FT","Manchester United","1","2","Manchester City","74,847"
"","","Rashford (45')","","","Silva (41'), Otamendi (54')",""
"10/12/2017","FT","Southampton","1","1","Arsenal","31,643"
"","","Austin (3')","","","Giroud (88')",""
"12/12/2017","FT","Burnley","1","0","Stoke City","19,909"
"","","Barnes (89')","","","",""
"12/12/2017","FT","Crystal Palace","2","1","Watford","23,566"
"","","Sako (89'), McArthur (90')","","","Janmaat (3')",""
"12/12/2017","FT","Huddersfield Town","1","3","Chelsea","24,169"
"","","Depoitre (90')","","","Bakayoko (23'), Willian (43'), Pedro (50')",""
"13/12/2017","FT","Liverpool","0","0","West Bromwich Albion","53,243"
"13/12/2017","FT","Manchester United","1","0","AFC Bournemouth","74,798"
"","","Lukaku (26')","","","",""
"13/12/2017","FT","Newcastle United","0","1","Everton","51,042"
"","","","","","Rooney (26')",""
"13/12/2017","FT","Southampton","1","4","Leicester City","27,714"
"","","Tadic (61')","","","Mahrez (11'), Okazaki (31', 70'), King (37')",""
"13/12/2017","FT","Swansea City","0","4","Manchester City","20,870"
"","","","","","Silva (27', 52'), De Bruyne (34'), Aguero (84')",""
"13/12/2017","FT","Tottenham Hotspur","2","0","Brighton & Hove Albion","55,124"
"","","Aurier (40'), Son (87')","","","",""
"13/12/2017","FT","West Ham United","0","0","Arsenal","56,921"
"16/12/2017","FT","Arsenal","1","0","Newcastle United","59,379"
"","","Ozil (23')","","","",""
"16/12/2017","FT","Brighton & Hove Albion","0","0","Burnley","29,921"
