"Date","Status","Home","Score","","Away","Attd"
"11/8/2017","FT","Arsenal","4","3","Leicester City","59,387"
"","","Lacazette (2'), Welbeck (45'), Ramsey (83'), Giroud (85')","","","Okazaki (5'), Vardy (30', 56')",""
"12/8/2017","FT","Brighton & Hove Albion","0","2","Manchester City","30,415"
"","","","","","Aguero (70'), Dunk (75' og)",""
"12/8/2017","FT","Chelsea","2","3","Burnley","41,616"
"","","Morata (68'), Luiz (87')","","","Vokes (22', 41'), Ward (37')",""
"12/8/2017","FT","Crystal Palace","0","3","Huddersfield Town","25,448"
"","","","","","Jrgensen (23'), Mounie (26', 77')",""
"12/8/2017","FT","Everton","1","0","Stoke City","39,045"
"","","Rooney (45')","","","",""
"12/8/2017","FT","Southampton","0","0","Swansea City","31,447"
"12/8/2017","FT","Watford","3","3","Liverpool","20,407"
"","","Okaka (8'), Doucoure (30'), Britos (90')","","","Mane (27'), Firmino (55'), Salah (58')",""
"12/8/2017","FT","West Bromwich Albion","1","0","AFC Bournemouth","25,011"
"","","Hegazy (30')","","","",""
"13/8/2017","FT","Manchester United","4","0","West Ham United","74,928"
"","","Lukaku (33', 53'), Martial (86'), Pogba (88')","","","",""
"13/8/2017","FT","Newcastle United","0","2","Tottenham Hotspur","52,077"
"","","","","","Alli (61'), Davies (69')",""
"19/8/2017","FT","AFC Bournemouth","0","2","Watford","10,501"
"","","","","","Richarlison (73'), Capoue (86')",""
"19/8/2017","FT","Burnley","0","1","West Bromwich Albion","19,619"
"","","","","","Robson-Kanu (71')",""
"19/8/2017","FT","Leicester City","2","0","Brighton & Hove Albion","31,902"
"","","Okazaki (1'), Maguire (55')","","","",""
"19/8/2017","FT","Liverpool","1","0","Crystal Palace","53,138"
"","","Mane (72')","","","",""
"19/8/2017","FT","Southampton","3","2","West Ham United","31,424"
"","","Gabbiadini (11'), Tadic (37'), Austin (90' pen)","","","Hernandez (43', 72')",""
"19/8/2017","FT","Stoke City","1","0","Arsenal","29,459"
"","","Jese (47')","","","",""
"19/8/2017","FT","Swansea City","0","4","Manchester United","20,862"
"","","","","","Bailly (42'), Lukaku (78'), Pogba (80'), Martial (82')",""
"20/8/2017","FT","Huddersfield Town","1","0","Newcastle United","24,128"
"","","Mooy (50')","","","",""
"20/8/2017","FT","Tottenham Hotspur","1","2","Chelsea","73,587"
"","","Batshuayi (82' og)","","","Alonso (24', 87')",""
"21/8/2017","FT","Manchester City","1","1","Everton","54,009"
"","","Sterling (82')","","","Rooney (35')",""
"26/8/2017","FT","AFC Bournemouth","1","2","Manchester City","10,419"
"","","Daniels (12')","","","Jesus (20'), Sterling (90')",""
"26/8/2017","FT","Crystal Palace","0","2","Swansea City","23,477"
"","","","","","Abraham (41'), Ayew (48')",""
"26/8/2017","FT","Huddersfield Town","0","0","Southampton","23,548"
"26/8/2017","FT","Manchester United","2","0","Leicester City","75,021"
"","","Rashford (70'), Fellaini (80')","","","",""
"26/8/2017","FT","Newcastle United","3","0","West Ham United","52,093"
"","","Joselu (35'), Clark (72'), Mitrovic (86')","","","",""
"26/8/2017","FT","Watford","0","0","Brighton & Hove Albion","20,181"
"27/8/2017","FT","Chelsea","2","0","Everton","41,382"
"","","Fabregas (26'), Morata (38')","","","",""
"27/8/2017","FT","Liverpool","4","0","Arsenal","53,206"
"","","Firmino (17'), Mane (38'), Salah (57'), Sturridge (77')","","","",""
"27/8/2017","FT","Tottenham Hotspur","1","1","Burnley","67,862"
"","","Alli (48')","","","Wood (90')",""
"27/8/2017","FT","West Bromwich Albion","1","1","Stoke City","22,704"
"","","Rodriguez (60')","","","Crouch (77')",""
