"Date","Status","Home","Score","","Away","Attd"
"1/10/2017","FT","Arsenal","2","0","Brighton & Hove Albion","59,378"
"","","Monreal (17'), Iwobi (56')","","","",""
"1/10/2017","FT","Everton","0","1","Burnley","38,448"
"","","","","","Hendrick (21')",""
"1/10/2017","FT","Newcastle United","1","1","Liverpool","52,303"
"","","Joselu (37')","","","Coutinho (29')",""
"14/10/2017","FT","Burnley","1","1","West Ham United","20,945"
"","","Wood (85')","","","Antonio (19')",""
"14/10/2017","FT","Crystal Palace","2","1","Chelsea","25,480"
"","","Cabaye (10'), Zaha (43')","","","Bakayoko (18')",""
"14/10/2017","FT","Liverpool","0","0","Manchester United","52,912"
"14/10/2017","FT","Manchester City","7","2","Stoke City","54,128"
"","","Jesus (16', 56'), Sterling (19'), Silva (27'), Fernandinho (60'), Sane (62'), Silva (79')","","","",""
"14/10/2017","FT","Swansea City","2","0","Huddersfield Town","20,657"
"","","Abraham (42', 50')","","","",""
"14/10/2017","FT","Tottenham Hotspur","1","0","AFC Bournemouth","73,502"
"","","Eriksen (47')","","","",""
"14/10/2017","FT","Watford","2","1","Arsenal","20,384"
"","","Deeney (71'), Cleverley (90')","","","Mertesacker (37')",""
"15/10/2017","FT","Brighton & Hove Albion","1","1","Everton","30,565"
"","","Knockaert (81')","","","Rooney (89')",""
"15/10/2017","FT","Southampton","2","2","Newcastle United","31,437"
"","","Gabbiadini (49', 75')","","","Hayden (20'), Perez (51')",""
"16/10/2017","FT","Leicester City","1","1","West Bromwich Albion","30,203"
"","","Mahrez (80')","","","Chadli (63')",""
"20/10/2017","FT","West Ham United","0","3","Brighton & Hove Albion","56,977"
"","","","","","Murray (10', 75'), Izquierdo (45')",""
"21/10/2017","FT","Chelsea","4","2","Watford","41,467"
"","","Pedro (12'), Batshuayi (71', 90'), Azpilicueta (86')","","","Doucoure (45'), Pereyra (49')",""
"21/10/2017","FT","Huddersfield Town","2","1","Manchester United","24,426"
"","","Mooy (25'), Depoitre (31')","","","Rashford (76')",""
"21/10/2017","FT","Manchester City","3","0","Burnley","54,118"
"","","Aguero (29'), Otamendi (73'), Sane (75')","","","",""
"21/10/2017","FT","Newcastle United","1","0","Crystal Palace","52,251"
"","","Merino (86')","","","",""
"21/10/2017","FT","Southampton","1","0","West Bromwich Albion","29,947"
"","","Boufal (82')","","","",""
"21/10/2017","FT","Stoke City","1","2","AFC Bournemouth","29,500"
"","","Biram Diouf (63')","","","Surman (16'), Stanislas (17')",""
"21/10/2017","FT","Swansea City","1","2","Leicester City","20,521"
"","","Mawson (56')","","","Fernandez (24' og), Okazaki (48')",""
"22/10/2017","FT","Everton","2","5","Arsenal","39,189"
"","","Rooney (12'), Niasse (90')","","","Monreal (38'), Ozil (53'), Lacazette (74'), Ramsey (89'), Sanchez (90')",""
"22/10/2017","FT","Tottenham Hotspur","4","1","Liverpool","80,827"
"","","Kane (4', 56'), Son (10'), Alli (45')","","","Salah (23')",""
"28/10/2017","FT","AFC Bournemouth","0","1","Chelsea",""
"","","","","","Hazard (51')",""
"28/10/2017","FT","Arsenal","2","1","Swansea City","59,493"
"","","Kolasinac (51'), Ramsey (57')","","","Clucas (22')",""
"28/10/2017","FT","Crystal Palace","2","2","West Ham United","25,242"
"","","Milivojevic (50'), Zaha (90')","","","Hernandez (30'), Ayew (42')",""
"28/10/2017","FT","Liverpool","3","0","Huddersfield Town","53,268"
"","","Sturridge (50'), Firmino (59'), Wijnaldum (75')","","","",""
"28/10/2017","FT","Manchester United","1","0","Tottenham Hotspur","75,034"
"","","Martial (79')","","","",""
"28/10/2017","FT","Watford","0","1","Stoke City","20,087"
"","","","","","Fletcher (16')",""
"28/10/2017","FT","West Bromwich Albion","2","3","Manchester City","24,003"
"","","Rodriguez (12'), Phillips (90')","","","Sane (10'), Fernandinho (15'), Sterling (64')",""
"29/10/2017","FT","Brighton & Hove Albion","1","1","Southampton","30,564"
"","","Murray (52')","","","Davis (7')",""
"29/10/2017","FT","Leicester City","2","0","Everton","31,891"
"","","Vardy (17'), Kenny (29' og)","","","",""
"30/10/2017","FT","Burnley","1","0","Newcastle United","21,031"
"","","Hendrick (74')","","","",""
