"Match","Position","Points"
"1","5","3"
"2","11","3"
"3","10","4"
"4","7","7"
"5","8","7"
"6","9","8"
"7","9","11"
"8","9","12"
"9","11","12"
"10","11","12"
"11","10","15"
"12","12","15"
"13","13","15"
"14","13","16"
"15","15","16"
"16","16","16"
"17","16","17"
"18","16","18"
"19","16","18"
"20","14","21"
"21","16","21"
"22","15","24"
"23","15","24"
"24","16","24"
"25","16","25"
"26","14","28"
"27","15","28"
"28","15","29"
"29","15","30"
"30","15","30"
"31","15","30"
"32","15","33"
"33","15","36"
"34","15","39"
"35","15","40"
"36","15","43"
"37","13","46"
"38","10","49"
