"Match","Position","Points"
"1","20","0"
"2","16","1"
"3","10","4"
"4","13","4"
"5","13","5"
"6","15","6"
"7","17","6"
"8","15","9"
"9","12","10"
"10","10","13"
"11","12","13"
"12","10","16"
"13","10","19"
"14","11","19"
"15","11","19"
"16","11","22"
"17","12","22"
"18","12","22"
"19","12","23"
"20","12","24"
"21","12","24"
"22","12","25"
"23","12","26"
"24","12","27"
"25","12","27"
"26","12","27"
"27","12","27"
"28","12","27"
"29","12","30"
"30","12","33"
"31","12","36"
"32","12","37"
"33","12","37"
"34","11","40"
"35","12","40"
"36","12","43"
"37","11","44"
"38","11","45"
