"Match","Position","Points"
"1","20","0"
"2","19","0"
"3","19","0"
"4","19","0"
"5","20","0"
"6","20","0"
"7","20","0"
"8","20","3"
"9","20","3"
"10","20","4"
"11","20","4"
"12","20","5"
"13","20","8"
"14","20","9"
"15","18","10"
"16","20","11"
"17","17","14"
"18","14","17"
"19","16","18"
"20","16","18"
"21","17","19"
"22","14","22"
"23","12","25"
"24","13","25"
"25","12","26"
"26","14","27"
"27","14","27"
"28","17","27"
"29","18","27"
"30","18","27"
"31","16","30"
"32","17","30"
"33","17","31"
"34","16","34"
"35","15","35"
"36","11","38"
"37","11","41"
"38","11","44"
