"Date","Status","Home","Score","","Away","Attd"
"2/2/2019","FT","Brighton & Hove Albion","0","0","Watford","30,414"
"2/2/2019","FT","Burnley","1","1","Southampton","19,787"
"","","Barnes (90')","","","Redmond (54')",""
"2/2/2019","FT","Cardiff City","2","0","AFC Bournemouth","31,939"
"","","Reid (5', 46')","","","",""
"2/2/2019","FT","Chelsea","5","0","Huddersfield Town","40,626"
"","","Higuain (16', 70'), Hazard (45', 66'), Luiz (86')","","","",""
"2/2/2019","FT","Crystal Palace","2","0","Fulham","25,355"
"","","Milivojevic (24'), Schlupp (86')","","","",""
"2/2/2019","FT","Everton","1","3","Wolverhampton Wanderers","39,380"
"","","Gomes (26')","","","Neves (7' pen), Jimenez (43'), Dendoncker (66')",""
"2/2/2019","FT","Tottenham Hotspur","1","0","Newcastle United","41,219"
"","","Son (82')","","","",""
"3/2/2019","FT","Leicester City","0","1","Manchester United","32,148"
"","","","","","Rashford (9')",""
"3/2/2019","FT","Manchester City","3","1","Arsenal","54,483"
"","","Aguero (1', 43', 61')","","","Koscielny (11')",""
"4/2/2019","FT","West Ham United","1","1","Liverpool","59,903"
"","","Antonio (26')","","","Mane (22')",""
"6/2/2019","FT","Everton","0","2","Manchester City","39,322"
"","","","","","Laporte (45'), Jesus (90')",""
"9/2/2019","FT","Brighton & Hove Albion","1","3","Burnley","29,323"
"","","Duffy (76')","","","Wood (26', 62'), Barnes (74')",""
"9/2/2019","FT","Crystal Palace","1","1","West Ham United","25,552"
"","","Zaha (76')","","","Noble (28')",""
"9/2/2019","FT","Fulham","0","3","Manchester United",""
"","","","","","Pogba (13', 65'), Martial (23')",""
"9/2/2019","FT","Huddersfield Town","1","2","Arsenal","24,182"
"","","Kolasinac (90' og)","","","Iwobi (14'), Lacazette (43')",""
"9/2/2019","FT","Liverpool","3","0","AFC Bournemouth","53,178"
"","","Mane (22'), Wijnaldum (33'), Salah (48')","","","",""
"9/2/2019","FT","Southampton","1","2","Cardiff City","31,438"
"","","Stephens (90')","","","Bamba (69'), Zohore (90')",""
"9/2/2019","FT","Watford","1","0","Everton","20,333"
"","","Gray (65')","","","",""
"10/2/2019","FT","Manchester City","6","0","Chelsea","54,452"
"","","Sterling (4', 80'), Aguero (12', 17', 56'), Gundogan (23')","","","",""
"10/2/2019","FT","Tottenham Hotspur","3","1","Leicester City","44,154"
"","","Sanchez (31'), Eriksen (64'), Son (89')","","","Vardy (76')",""
"11/2/2019","FT","Wolverhampton Wanderers","1","1","Newcastle United","30,687"
"","","Boly (90')","","","Hayden (55')",""
"22/2/2019","FT","Cardiff City","1","5","Watford","30,387"
"","","Bamba (82')","","","Deulofeu (18', 61', 63'), Deeney (73', 90')",""
"22/2/2019","FT","West Ham United","3","1","Fulham","59,950"
"","","Hernandez (29'), Diop (38'), Antonio (89')","","","Babel (4')",""
"23/2/2019","FT","AFC Bournemouth","1","1","Wolverhampton Wanderers","10,671"
"","","King (13')","","","Jimenez (82')",""
"23/2/2019","FT","Burnley","2","1","Tottenham Hotspur","21,338"
"","","Wood (57'), Barnes (83')","","","Kane (65')",""
"23/2/2019","FT","Leicester City","1","4","Crystal Palace","31,778"
"","","Evans (63')","","","Batshuayi (40'), Zaha (69', 90'), Milivojevic (80')",""
"23/2/2019","FT","Newcastle United","2","0","Huddersfield Town","52,174"
"","","Rondon (47'), Perez (52')","","","",""
"24/2/2019","FT","Arsenal","2","0","Southampton","59,877"
"","","Lacazette (7'), Mkhitaryan (16')","","","",""
"24/2/2019","FT","Manchester United","0","0","Liverpool","74,519"
"26/2/2019","FT","Cardiff City","0","3","Everton","31,849"
"","","","","","Sigursson (40', 66'), Calvert-Lewin (90')",""
"26/2/2019","FT","Huddersfield Town","1","0","Wolverhampton Wanderers","22,714"
"26/2/2019","FT","Leicester City","2","1","Brighton & Hove Albion","30,558"
"","","Gray (10'), Vardy (62')","","","Propper (66')",""
"26/2/2019","FT","Newcastle United","2","0","Burnley","48,323"
"","","Schar (24'), Longstaff (37')","","","",""
"27/2/2019","FT","Arsenal","5","1","AFC Bournemouth","59,618"
"","","Ozil (4'), Mkhitaryan (27'), Koscielny (47'), Aubameyang (59'), Lacazette (77')","","","Mousset (30')",""
"27/2/2019","FT","Chelsea","2","0","Tottenham Hotspur","40,542"
"","","Pedro (57'), Trippier (84' og)","","","",""
"27/2/2019","FT","Crystal Palace","1","3","Manchester United","25,754"
"","","Ward (66')","","","Lukaku (32', 52'), Young (84')",""
"27/2/2019","FT","Liverpool","5","0","Watford","53,316"
"","","Mane (8', 20'), Origi (66'), van Dijk (79', 82')","","","",""
"27/2/2019","FT","Manchester City","1","0","West Ham United","53,528"
"","","Aguero (58')","","","",""
"27/2/2019","FT","Southampton","2","0","Fulham","27,597"
"","","Romeu (23'), Ward-Prowse (40')","","","",""
