"Date","Status","Home","Score","","Away","Attd"
"1/1/2019","FT","Arsenal","4","1","Fulham","59,887"
"","","Xhaka (25'), Lacazette (56'), Ramsey (78'), Aubameyang (82')","","","Kamara (69')",""
"1/1/2019","FT","Cardiff City","0","3","Tottenham Hotspur","32,485"
"","","","","","Kane (3'), Eriksen (12'), Son (27')",""
"1/1/2019","FT","Everton","0","1","Leicester City","39,052"
"","","","","","Vardy (58')",""
"2/1/2019","FT","AFC Bournemouth","3","3","Watford","10,261"
"","","Ake (34'), Wilson (36'), Fraser (39')","","","Deeney (15', 27'), Sema (38')",""
"2/1/2019","FT","Chelsea","0","0","Southampton","40,668"
"2/1/2019","FT","Huddersfield Town","1","2","Burnley","23,715"
"","","Mounie (33')","","","Wood (40'), Barnes (74')",""
"2/1/2019","FT","Newcastle United","0","2","Manchester United","52,217"
"","","","","","Lukaku (64'), Rashford (80')",""
"2/1/2019","FT","West Ham United","2","2","Brighton & Hove Albion","59,870"
"","","Arnautovic (67', 69')","","","Stephens (56'), Duffy (59')",""
"2/1/2019","FT","Wolverhampton Wanderers","0","2","Crystal Palace","30,666"
"","","","","","Ayew (83'), Milivojevic (90')",""
"3/1/2019","FT","Manchester City","2","1","Liverpool","54,511"
"","","Aguero (39'), Sane (70')","","","Firmino (64')",""
"12/1/2019","FT","Brighton & Hove Albion","0","1","Liverpool","30,682"
"","","","","","Salah (50')",""
"12/1/2019","FT","Burnley","2","1","Fulham","19,316"
"","","Bryan (19' og), Odoi (23' og)","","","Schurrle (1')",""
"12/1/2019","FT","Cardiff City","0","0","Huddersfield Town","30,725"
"12/1/2019","FT","Chelsea","2","1","Newcastle United","40,491"
"","","Pedro (9'), Willian (57')","","","Clark (38')",""
"12/1/2019","FT","Crystal Palace","1","2","Watford","25,010"
"","","Cathcart (37' og)","","","Cathcart (67'), Cleverley (75')",""
"12/1/2019","FT","Leicester City","1","2","Southampton","31,491"
"","","Ndidi (57')","","","Ward-Prowse (10'), Long (45')",""
"12/1/2019","FT","West Ham United","1","0","Arsenal","59,946"
"","","Rice (48')","","","",""
"13/1/2019","FT","Everton","2","0","AFC Bournemouth","38,113"
"","","Zouma (61'), Calvert-Lewin (90')","","","",""
"13/1/2019","FT","Tottenham Hotspur","0","1","Manchester United","80,062"
"","","","","","Rashford (43')",""
"14/1/2019","FT","Manchester City","3","0","Wolverhampton Wanderers","54,171"
"","","Jesus (10', 37' pen), Coady (76' og)","","","",""
"19/1/2019","FT","AFC Bournemouth","2","0","West Ham United","10,495"
"","","Wilson (53'), King (90')","","","",""
"19/1/2019","FT","Arsenal","2","0","Chelsea","59,979"
"","","Lacazette (14'), Koscielny (38')","","","",""
"19/1/2019","FT","Liverpool","4","3","Crystal Palace","53,171"
"","","Salah (47', 74'), Firmino (53'), Mane (90')","","","Townsend (33'), Tomkins (65'), Meyer (90')",""
"19/1/2019","FT","Manchester United","2","1","Brighton & Hove Albion","74,532"
"","","Pogba (27'), Rashford (41')","","","Gro (71')",""
"19/1/2019","FT","Newcastle United","3","0","Cardiff City","49,864"
"","","Schar (23', 63'), Perez (90')","","","",""
"19/1/2019","FT","Southampton","2","1","Everton","29,989"
"","","Ward-Prowse (49'), Digne (63' og)","","","Sigursson (90')",""
"19/1/2019","FT","Watford","0","0","Burnley","19,510"
"19/1/2019","FT","Wolverhampton Wanderers","4","3","Leicester City","31,278"
"","","Jota (4', 63', 90'), Bennett (13')","","","Gray (46'), Barnes (50'), Morgan (85')",""
"20/1/2019","FT","Fulham","1","2","Tottenham Hotspur","24,807"
"","","Llorente (17' og)","","","Alli (52'), Winks (90')",""
"20/1/2019","FT","Huddersfield Town","0","3","Manchester City","24,190"
"","","","","","Danilo (18'), Sterling (54'), Sane (56')",""
"29/1/2019","FT","Arsenal","2","1","Cardiff City","59,933"
"","","Aubameyang (65'), Lacazette (83')","","","Mendez-Laing (90')",""
"29/1/2019","FT","Fulham","4","2","Brighton & Hove Albion","22,008"
"","","Chambers (47'), Mitrovic (59', 74'), Vietto (80')","","","Murray (4', 17')",""
"29/1/2019","FT","Huddersfield Town","0","1","Everton","23,699"
"","","","","","Richarlison (3')",""
"29/1/2019","FT","Manchester United","2","2","Burnley","74,529"
"","","Pogba (87'), Lindelof (90')","","","Barnes (51'), Wood (80')",""
"29/1/2019","FT","Newcastle United","2","1","Manchester City","50,861"
"","","Rondon (66'), Ritchie (79' pen)","","","Aguero (1')",""
"29/1/2019","FT","Wolverhampton Wanderers","3","0","West Ham United","31,122"
"","","Saiss (65'), Jimenez (79', 84')","","","",""
"30/1/2019","FT","AFC Bournemouth","4","0","Chelsea","10,227"
"","","King (47', 74'), Brooks (63'), Daniels (90')","","","",""
"30/1/2019","FT","Liverpool","1","1","Leicester City","53,092"
"","","Mane (3')","","","Maguire (45')",""
"30/1/2019","FT","Southampton","1","1","Crystal Palace","28,339"
"","","Ward-Prowse (77')","","","Zaha (41')",""
"30/1/2019","FT","Tottenham Hotspur","2","1","Watford","29,164"
"","","Son (79'), Llorente (86')","","","Cathcart (37')",""
