"Date","Status","Home","Score","","Away","Attd"
"3/5/2019","FT","Everton","2","0","Burnley","39,303"
"","","Richarlison (17'), Coleman (20')","","","",""
"4/5/2019","FT","AFC Bournemouth","1","0","Tottenham Hotspur","10,630"
"","","Ake (90')","","","",""
"4/5/2019","FT","Cardiff City","2","3","Crystal Palace","32,133"
"","","Kelly (31' og)","","","Zaha (28'), Batshuayi (39'), Townsend (70')",""
"4/5/2019","FT","Newcastle United","2","3","Liverpool","52,206"
"","","Atsu (19'), Rondon (54')","","","van Dijk (13'), Salah (26'), Origi (86')",""
"4/5/2019","FT","West Ham United","3","0","Southampton","59,961"
"","","Arnautovic (15', 69'), Fredericks (72')","","","",""
"4/5/2019","FT","Wolverhampton Wanderers","1","0","Fulham","30,456"
"","","Dendoncker (74')","","","",""
"5/5/2019","FT","Arsenal","1","1","Brighton & Hove Albion","59,965"
"","","Aubameyang (9')","","","Murray (61' pen)",""
"5/5/2019","FT","Chelsea","3","0","Watford","40,560"
"","","Loftus-Cheek (49'), Luiz (50'), Higuain (74')","","","",""
"5/5/2019","FT","Huddersfield Town","1","1","Manchester United","24,263"
"","","Mbenza (60')","","","McTominay (8')",""
"6/5/2019","FT","Manchester City","1","0","Leicester City","54,506"
"","","Kompany (70')","","","",""
"12/5/2019","FT","Brighton & Hove Albion","1","4","Manchester City","30,662"
"","","Murray (25')","","","Aguero (27'), Laporte (36'), Mahrez (64'), Gundogan (72')",""
"12/5/2019","FT","Burnley","1","3","Arsenal","21,461"
"","","Barnes (66')","","","Aubameyang (52', 65'), Nketiah (90')",""
"12/5/2019","FT","Crystal Palace","5","3","AFC Bournemouth","25,433"
"","","Batshuayi (23', 31'), Simpson (38' og), van Aanholt (66'), Townsend (79')","","","Lerma (44'), Ibe (55'), King (71')",""
"12/5/2019","FT","Fulham","0","4","Newcastle United","24,979"
"","","","","","Shelvey (9'), Perez (12'), Schar (61'), Rondon (90')",""
"12/5/2019","FT","Leicester City","0","0","Chelsea","32,140"
"12/5/2019","FT","Liverpool","2","0","Wolverhampton Wanderers","53,331"
"","","Mane (17', 81')","","","",""
"12/5/2019","FT","Manchester United","0","2","Cardiff City","74,457"
"","","","","","Mendez-Laing (22' pen, 53')",""
"12/5/2019","FT","Southampton","1","1","Huddersfield Town","30,367"
"","","Redmond (40')","","","Pritchard (55')",""
"12/5/2019","FT","Tottenham Hotspur","2","2","Everton","60,124"
"","","Dier (3'), Eriksen (75')","","","Walcott (69'), Tosun (72')",""
"12/5/2019","FT","Watford","1","4","West Ham United","20,067"
"","","Deulofeu (46')","","","Noble (15', 78'), Lanzini (37'), Anderson (71')",""
