"Date","Status","Home","Score","","Away","Attd"
"1/12/2018","FT","Crystal Palace","2","0","Burnley","25,098"
"","","McArthur (15'), Townsend (76')","","","",""
"1/12/2018","FT","Huddersfield Town","1","2","Brighton & Hove Albion","22,973"
"","","Jrgensen (1')","","","Duffy (45'), Andone (68')",""
"1/12/2018","FT","Leicester City","2","0","Watford","31,353"
"","","Vardy (11' pen), Maddison (22')","","","",""
"1/12/2018","FT","Manchester City","3","1","AFC Bournemouth","54,409"
"","","Silva (14'), Sterling (57'), Gundogan (78')","","","Wilson (43')",""
"1/12/2018","FT","Newcastle United","0","3","West Ham United","51,853"
"","","","","","Hernandez (12', 63'), Anderson (90')",""
"1/12/2018","FT","Southampton","2","2","Manchester United","30,187"
"","","Armstrong (10'), Soares (18')","","","Lukaku (32'), Herrera (37')",""
"2/12/2018","FT","Arsenal","4","2","Tottenham Hotspur","59,973"
"","","Aubameyang (10' pen, 56'), Lacazette (75'), Torreira (76')","","","Dier (28'), Kane (32' pen)",""
"2/12/2018","FT","Chelsea","2","0","Fulham","40,551"
"","","Pedro (4'), Loftus-Cheek (82')","","","",""
"2/12/2018","FT","Liverpool","1","0","Everton",""
"","","Origi (90')","","","",""
"4/12/2018","FT","AFC Bournemouth","2","1","Huddersfield Town","9,980"
"","","Wilson (6'), Fraser (22')","","","Kongolo (38')",""
"4/12/2018","FT","Brighton & Hove Albion","3","1","Crystal Palace","29,663"
"","","Murray (24'), Balogun (32'), Andone (45')","","","Milivojevic (80' pen)",""
"4/12/2018","FT","Watford","1","2","Manchester City","20,389"
"","","Doucoure (84')","","","Sane (38'), Mahrez (51')",""
"4/12/2018","FT","West Ham United","3","1","Cardiff City","56,811"
"","","Perez (50', 55'), Antonio (86')","","","Murphy (90')",""
"5/12/2018","FT","Burnley","1","3","Liverpool","21,741"
"","","Cork (54')","","","Milner (62'), Firmino (69'), Shaqiri (90')",""
"5/12/2018","FT","Everton","1","1","Newcastle United","39,350"
"","","Richarlison (37')","","","Rondon (19')",""
"5/12/2018","FT","Fulham","1","1","Leicester City","22,881"
"","","Kamara (40')","","","Maddison (74')",""
"5/12/2018","FT","Manchester United","2","2","Arsenal","74,507"
"","","Martial (31'), Lingard (69')","","","Mustafi (26'), Lacazette (68')",""
"5/12/2018","FT","Tottenham Hotspur","3","1","Southampton","33,012"
"","","Kane (9'), Lucas (51'), Son (55')","","","Austin (90')",""
"5/12/2018","FT","Wolverhampton Wanderers","2","1","Chelsea","31,300"
"","","Jimenez (59'), Jota (62')","","","Loftus-Cheek (17')",""
"8/12/2018","FT","AFC Bournemouth","0","4","Liverpool","10,752"
"","","","","","Salah (25', 48', 76'), Cook (67' og)",""
"8/12/2018","FT","Arsenal","1","0","Huddersfield Town","59,893"
"","","Torreira (83')","","","",""
"8/12/2018","FT","Burnley","1","0","Brighton & Hove Albion","18,497"
"","","Cork (38')","","","",""
"8/12/2018","FT","Cardiff City","1","0","Southampton","30,067"
"","","Paterson (73')","","","",""
"8/12/2018","FT","Chelsea","2","0","Manchester City","40,571"
"","","Kante (42'), Luiz (78')","","","",""
"8/12/2018","FT","Leicester City","0","2","Tottenham Hotspur","31,957"
"","","","","","Son (45'), Alli (59')",""
"8/12/2018","FT","Manchester United","4","1","Fulham","74,523"
