"Date","Status","Home","Score","","Away","Attd"
"1/10/2018","FT","AFC Bournemouth","2","1","Crystal Palace","10,199"
"","","Brooks (5'), Stanislas (87')","","","van Aanholt (55')",""
"5/10/2018","FT","Brighton & Hove Albion","1","0","West Ham United","30,544"
"","","Murray (25')","","","",""
"6/10/2018","FT","Burnley","1","1","Huddersfield Town","20,533"
"","","Vokes (20')","","","Schindler (65')",""
"6/10/2018","FT","Crystal Palace","0","1","Wolverhampton Wanderers","25,715"
"","","","","","Doherty (56')",""
"6/10/2018","FT","Leicester City","1","2","Everton","32,007"
"","","Pereira (38')","","","Richarlison (8'), Sigursson (76')",""
"6/10/2018","FT","Manchester United","3","2","Newcastle United","74,519"
"","","Mata (70'), Martial (76'), Sanchez (89')","","","Kenedy (8'), Muto (10')",""
"6/10/2018","FT","Tottenham Hotspur","1","0","Cardiff City","43,268"
"","","Dier (9')","","","",""
"6/10/2018","FT","Watford","0","4","AFC Bournemouth","20,139"
"","","","","","Brooks (14'), King (34', 44'), Wilson (48')",""
"7/10/2018","FT","Fulham","1","5","Arsenal","25,401"
"","","Schurrle (42')","","","Lacazette (29', 49'), Ramsey (66'), Aubameyang (78', 89')",""
"7/10/2018","FT","Liverpool","0","0","Manchester City","52,117"
"7/10/2018","FT","Southampton","0","3","Chelsea","27,077"
"","","","","","Hazard (29'), Barkley (57'), Morata (90')",""
"20/10/2018","FT","AFC Bournemouth","0","0","Southampton","10,986"
"20/10/2018","FT","Cardiff City","4","2","Fulham","29,681"
"","","Murphy (13'), Reid (18'), Paterson (65'), Harris (87')","","","Schurrle (10'), Sessegnon (32')",""
"20/10/2018","FT","Chelsea","2","2","Manchester United","40,721"
"","","Rudiger (21'), Barkley (90')","","","Martial (55', 71')",""
"20/10/2018","FT","Huddersfield Town","0","1","Liverpool","24,263"
"","","","","","Salah (24')",""
"20/10/2018","FT","Manchester City","5","0","Burnley","54,094"
"","","Aguero (17'), Silva (54'), Fernandinho (56'), Mahrez (83'), Sane (89')","","","",""
"20/10/2018","FT","Newcastle United","0","1","Brighton & Hove Albion","50,329"
"","","","","","Izquierdo (29')",""
"20/10/2018","FT","West Ham United","0","1","Tottenham Hotspur","56,921"
"","","","","","Lamela (42')",""
"20/10/2018","FT","Wolverhampton Wanderers","0","2","Watford","31,144"
"","","","","","Capoue (19'), Pereyra (21')",""
"21/10/2018","FT","Everton","2","0","Crystal Palace","38,668"
"","","Calvert-Lewin (87'), Tosun (88')","","","",""
"22/10/2018","FT","Arsenal","3","1","Leicester City","59,886"
"","","Ozil (43'), Aubameyang (63', 66')","","","Chilwell (31')",""
"27/10/2018","FT","Brighton & Hove Albion","1","0","Wolverhampton Wanderers","30,654"
"","","Murray (48')","","","",""
"27/10/2018","FT","Fulham","0","3","AFC Bournemouth","25,071"
"","","","","","Wilson (14', 85'), Brooks (71')",""
"27/10/2018","FT","Leicester City","1","1","West Ham United","31,848"
"","","Ndidi (89')","","","Balbuena (29')",""
"27/10/2018","FT","Liverpool","4","1","Cardiff City","53,373"
"","","Salah (10'), Mane (66', 85'), Shaqiri (84')","","","Paterson (78')",""
"27/10/2018","FT","Southampton","0","0","Newcastle United","30,736"
"27/10/2018","FT","Watford","3","0","Huddersfield Town","20,457"
"","","Pereyra (10'), Deulofeu (19'), Success (80')","","","",""
"28/10/2018","FT","Burnley","0","4","Chelsea","21,430"
"","","","","","Morata (21'), Barkley (57'), Willian (62'), Loftus-Cheek (90')",""
"28/10/2018","FT","Crystal Palace","2","2","Arsenal",""
"","","Milivojevic (45', 82')","","","Xhaka (52'), Aubameyang (56')",""
"28/10/2018","FT","Manchester United","2","1","Everton","74,525"
"","","Pogba (25'), Martial (49')","","","Sigursson (77')",""
"29/10/2018","FT","Tottenham Hotspur","0","1","Manchester City","56,854"
"","","","","","Mahrez (6')",""
