"Date","Status","Home","Score","","Away","Attd"
"3/11/2018","FT","AFC Bournemouth","1","2","Manchester United","10,792"
"","","Wilson (10')","","","Martial (33'), Rashford (90')",""
"3/11/2018","FT","Arsenal","1","1","Liverpool","59,993"
"","","Lacazette (81')","","","Milner (61')",""
"3/11/2018","FT","Cardiff City","0","1","Leicester City","30,877"
"","","","","","Gray (55')",""
"3/11/2018","FT","Everton","3","1","Brighton & Hove Albion","38,966"
"","","Richarlison (25', 76'), Coleman (49')","","","Dunk (32')",""
"3/11/2018","FT","Newcastle United","1","0","Watford","49,157"
"","","Perez (65')","","","",""
"3/11/2018","FT","West Ham United","4","2","Burnley","56,862"
"","","Arnautovic (11'), Anderson (66', 82'), Hernandez (90')","","","Berg Gumundsson (44'), Wood (77')",""
"3/11/2018","FT","Wolverhampton Wanderers","2","3","Tottenham Hotspur","31,185"
"","","Neves (68' pen), Jimenez (77' pen)","","","Lamela (26'), Lucas (29'), Kane (61')",""
"4/11/2018","FT","Chelsea","3","1","Crystal Palace","40,407"
"","","Morata (32', 65'), Pedro (69')","","","Townsend (53')",""
"4/11/2018","FT","Manchester City","6","1","Southampton","53,916"
"","","Hoedt (5' og), Aguero (11'), Silva (16'), Sterling (45', 66'), Sane (89')","","","Ings (28' pen)",""
"5/11/2018","FT","Huddersfield Town","1","0","Fulham","17,082"
"","","Schindler (29')","","","",""
"10/11/2018","FT","Cardiff City","2","1","Brighton & Hove Albion","29,402"
"","","Paterson (28'), Bamba (90')","","","Dunk (7')",""
"10/11/2018","FT","Crystal Palace","0","1","Tottenham Hotspur","25,685"
"","","","","","Foyth (66')",""
"10/11/2018","FT","Huddersfield Town","1","1","West Ham United","24,069"
"","","Pritchard (5')","","","Anderson (75')",""
"10/11/2018","FT","Leicester City","0","0","Burnley",""
"10/11/2018","FT","Newcastle United","2","1","AFC Bournemouth","49,266"
"","","Rondon (6', 39')","","","Lerma (45')",""
"10/11/2018","FT","Southampton","1","1","Watford","28,153"
"","","Gabbiadini (20')","","","Holebas (82')",""
"11/11/2018","FT","Arsenal","1","1","Wolverhampton Wanderers","60,030"
"","","Mkhitaryan (86')","","","Cavaleiro (13')",""
"11/11/2018","FT","Chelsea","0","0","Everton","40,345"
"11/11/2018","FT","Liverpool","2","0","Fulham","53,128"
"","","Salah (39'), Shaqiri (53')","","","",""
"11/11/2018","FT","Manchester City","3","1","Manchester United","54,316"
"","","Silva (12'), Aguero (48'), Gundogan (85')","","","Martial (58' pen)",""
"24/11/2018","FT","Brighton & Hove Albion","1","1","Leicester City","30,553"
"","","Murray (13')","","","Vardy (79')",""
"24/11/2018","FT","Everton","1","0","Cardiff City","39,139"
"","","Sigursson (59')","","","",""
"24/11/2018","FT","Fulham","3","2","Southampton","24,603"
"","","Mitrovic (31', 64'), Schurrle (43')","","","Armstrong (18', 54')",""
"24/11/2018","FT","Manchester United","0","0","Crystal Palace","74,516"
"24/11/2018","FT","Tottenham Hotspur","3","1","Chelsea","55,465"
"","","Alli (8'), Kane (16'), Son (54')","","","Giroud (83')",""
"24/11/2018","FT","Watford","0","3","Liverpool","20,540"
"","","","","","Salah (66'), Alexander-Arnold (76'), Firmino (88')",""
"24/11/2018","FT","West Ham United","0","4","Manchester City","56,886"
"","","","","","Silva (10'), Sterling (18'), Sane (32', 90')",""
"25/11/2018","FT","AFC Bournemouth","1","2","Arsenal","10,792"
"","","King (45')","","","Lerma (30' og), Aubameyang (66')",""
"25/11/2018","FT","Wolverhampton Wanderers","0","2","Huddersfield Town","30,130"
"","","","","","Mooy (6', 74')",""
"26/11/2018","FT","Burnley","1","2","Newcastle United","20,628"
"","","Vokes (38')","","","Fernandez (4'), Clark (23')",""
"30/11/2018","FT","Cardiff City","2","1","Wolverhampton Wanderers","30,213"
"","","Gunnarsson (65'), Hoilett (78')","","","Doherty (18')",""
