"Date","Status","Home","Score","","Away","Attd"
"1/4/2019","FT","Arsenal","2","0","Newcastle United","59,869"
"","","Ramsey (29'), Lacazette (83')","","","",""
"2/4/2019","FT","Watford","4","1","Fulham","17,301"
"","","Doucoure (22'), Hughes (63'), Deeney (69'), Femenia (74')","","","Babel (33')",""
"2/4/2019","FT","Wolverhampton Wanderers","2","1","Manchester United","31,302"
"","","Jota (25'), Dendoncker (75')","","","McTominay (14')",""
"3/4/2019","FT","Chelsea","3","0","Brighton & Hove Albion","38,593"
"","","Giroud (37'), Hazard (60'), Loftus-Cheek (64')","","","",""
"3/4/2019","FT","Manchester City","2","0","Cardiff City","53,559"
"","","De Bruyne (6'), Sane (43')","","","",""
"3/4/2019","FT","Tottenham Hotspur","2","0","Crystal Palace","59,215"
"","","Son (55'), Eriksen (79')","","","",""
"5/4/2019","FT","Southampton","1","3","Liverpool","31,797"
"","","Long (9')","","","Keita (34'), Salah (80'), Henderson (85')",""
"6/4/2019","FT","AFC Bournemouth","1","3","Burnley","10,446"
"","","Ake (4')","","","Wood (17'), Westwood (19'), Barnes (57')",""
"6/4/2019","FT","Huddersfield Town","1","4","Leicester City","24,146"
"","","Mooy (52')","","","Tielemans (23'), Vardy (49', 83'), Maddison (77')",""
"6/4/2019","FT","Newcastle United","0","1","Crystal Palace","51,926"
"","","","","","Milivojevic (80')",""
"7/4/2019","FT","Everton","1","0","Arsenal","39,400"
"","","Jagielka (10')","","","",""
"8/4/2019","FT","Chelsea","2","0","West Ham United","40,537"
"","","Hazard (23', 88')","","","",""
"12/4/2019","FT","Leicester City","0","1","Newcastle United","32,108"
"","","","","","Perez (32')",""
"13/4/2019","FT","Brighton & Hove Albion","0","5","AFC Bournemouth","30,460"
"","","","","","Gosling (31'), Fraser (56'), Brooks (73'), Wilson (81'), Stanislas (90')",""
"13/4/2019","FT","Burnley","2","0","Cardiff City","21,480"
"","","Wood (31', 90')","","","",""
"13/4/2019","FT","Fulham","2","0","Everton","24,971"
"","","Cairney (46'), Babel (68')","","","",""
"13/4/2019","FT","Manchester United","2","1","West Ham United","74,478"
"","","Pogba (18', 80')","","","Anderson (50')",""
"13/4/2019","FT","Southampton","3","1","Wolverhampton Wanderers","31,708"
"","","Redmond (1', 29'), Long (70')","","","Boly (27')",""
"13/4/2019","FT","Tottenham Hotspur","4","0","Huddersfield Town","58,308"
"","","Wanyama (24'), Lucas (26', 87', 90')","","","",""
"14/4/2019","FT","Crystal Palace","1","3","Manchester City","25,721"
"","","Milivojevic (81')","","","Sterling (13', 63'), Jesus (90')",""
