"Match","Position","Points"
"1","20","0"
"2","20","0"
"3","18","1"
"4","17","2"
"5","17","2"
"6","20","2"
"7","20","2"
"8","18","3"
"9","19","3"
"10","20","3"
"11","18","6"
"12","19","7"
"13","14","10"
"14","17","10"
"15","17","10"
"16","18","10"
"17","18","10"
"18","19","10"
"19","20","10"
"20","20","10"
"21","20","10"
"22","20","11"
"23","20","11"
"24","20","11"
"25","20","11"
"26","20","11"
"27","20","11"
"28","20","14"
"29","20","14"
"30","20","14"
"31","20","14"
"32","20","14"
"33","20","14"
"34","20","14"
"35","20","14"
"36","20","14"
"37","20","15"
"38","20","16"
