"Match","Position","Points"
"1","11","1"
"2","14","1"
"3","18","1"
"4","19","1"
"5","20","1"
"6","20","1"
"7","20","1"
"8","19","4"
"9","19","4"
"10","19","5"
"11","19","8"
"12","16","11"
"13","18","11"
"14","13","14"
"15","12","17"
"16","13","17"
"17","13","17"
"18","13","17"
"19","15","17"
"20","14","18"
"21","13","21"
"22","13","24"
"23","14","24"
"24","14","24"
"25","15","24"
"26","16","24"
"27","17","25"
"28","18","25"
"29","19","25"
"30","19","25"
"31","19","25"
"32","17","28"
"33","17","29"
"34","16","30"
"35","18","30"
"36","19","30"
"37","18","31"
"38","18","34"
