"Match","Position","Points"
"1","20","0"
"2","9","3"
"3","16","3"
"4","17","3"
"5","15","4"
"6","16","4"
"7","17","5"
"8","18","6"
"9","14","9"
"10","11","12"
"11","12","13"
"12","12","13"
"13","11","14"
"14","9","17"
"15","9","20"
"16","8","23"
"17","8","26"
"18","8","26"
"19","8","27"
"20","8","27"
"21","8","27"
"22","8","30"
"23","8","31"
"24","7","34"
"25","8","34"
"26","8","35"
"27","8","35"
"28","8","36"
"29","8","37"
"30","8","40"
"31","8","43"
"32","8","43"
"33","8","43"
"34","8","44"
"35","9","44"
"36","9","44"
"37","9","47"
"38","9","47"
