"Date","Status","Home","Score","","Away","Attd"
"5/11/2022","FT","Everton","0","2","Leicester City","39,206"
"","","","","","Tielemans (45'), Barnes (87')",""
"5/11/2022","FT","Leeds United","4","3","AFC Bournemouth","36,304"
"","","Rodrigo (2' pen), Greenwood (60'), Cooper (68'), Summerville (84')","","","Tavernier (8'), Billing (19'), Solanke (48')",""
"5/11/2022","FT","Manchester City","2","1","Fulham","52,395"
"","","Álvarez (16'), Braut Haaland (90' pen)","","","Pereira (28' pen)",""
"5/11/2022","FT","Nottingham Forest","2","2","Brentford","28,869"
"","","Gibbs-White (20', 90')","","","Wissa (75')",""
"5/11/2022","FT","Wolverhampton Wanderers","2","3","Brighton & Hove Albion","30,732"
"","","Guedes (13'), Neves (34' pen)","","","Lallana (10'), Mitoma (44'), Gro (83')",""
"6/11/2022","FT","Aston Villa","3","1","Manchester United","42,058"
"","","Bailey (8'), Digne (11'), Ramsey (49')","","","Shaw (45')",""
"6/11/2022","FT","Chelsea","0","1","Arsenal","40,142"
"","","","","","Gabriel (63')",""
"6/11/2022","FT","Southampton","1","4","Newcastle United","30,402"
"","","Perraud (88')","","","Almiron (35'), Wood (59'), Willock (62'), Guimaraes (90')",""
"6/11/2022","FT","Tottenham Hotspur","1","2","Liverpool","62,008"
"","","Kane (70')","","","Salah (11', 40')",""
"6/11/2022","FT","West Ham United","1","2","Crystal Palace","62,451"
"","","Benrahma (20')","","","Zaha (41'), Cresswell (90' og)",""
"12/11/2022","FT","AFC Bournemouth","3","0","Everton","10,382"
"","","Tavernier (19'), Moore (25'), Anthony (70')","","","",""
"12/11/2022","FT","Liverpool","3","1","Southampton","53,331"
"","","Firmino (6'), Nuñez (22', 42')","","","Adams (9')",""
"12/11/2022","FT","Manchester City","1","2","Brentford","52,786"
"","","Foden (45')","","","Toney (16', 90')",""
"12/11/2022","FT","Newcastle United","1","0","Chelsea","52,264"
"","","Willock (67')","","","",""
"12/11/2022","FT","Nottingham Forest","1","0","Crystal Palace","29,045"
"","","Gibbs-White (57')","","","",""
"12/11/2022","FT","Tottenham Hotspur","4","3","Leeds United","61,667"
"","","Kane (26'), Davies (51'), Bentancur (81', 83')","","","Summerville (10'), Rodrigo (43', 76')",""
"12/11/2022","FT","West Ham United","0","2","Leicester City","62,459"
"","","","","","Maddison (8'), Barnes (78')",""
"12/11/2022","FT","Wolverhampton Wanderers","0","2","Arsenal","31,523"
"","","","","","Ødegaard (55', 75')",""
"13/11/2022","FT","Brighton & Hove Albion","1","2","Aston Villa","31,581"
"","","Mac Allister (2')","","","Ings (19' pen, 54')",""
"13/11/2022","FT","Fulham","1","2","Manchester United","24,246"
"","","James (62')","","","Eriksen (14'), Garnacho (90')",""
