"Date","Status","Home","Score","","Away","Attd"
"26/12/2022","FT","Arsenal","3","1","West Ham United","60,125"
"","","Saka (53'), Martinelli (59'), Nketiah (69')","","","Benrahma (27' pen)",""
"26/12/2022","FT","Aston Villa","1","3","Liverpool","42,085"
"","","Watkins (59')","","","Salah (6'), van Dijk (38'), Baj?eti? (81')",""
"26/12/2022","FT","Brentford","2","2","Tottenham Hotspur","17,137"
"","","Janelt (15'), Toney (54')","","","Kane (65'), Højbjerg (71')",""
"26/12/2022","FT","Crystal Palace","0","3","Fulham","25,176"
"","","","","","Reid (32'), Ream (71'), Mitrovic (81')",""
"26/12/2022","FT","Everton","1","2","Wolverhampton Wanderers","39,252"
"","","Mina (8')","","","Podence (22'), Aït Nouri (90')",""
"26/12/2022","FT","Leicester City","0","3","Newcastle United","32,185"
"","","","","","Wood (3' pen), Almiron (8'), Joelinton (32')",""
"26/12/2022","FT","Southampton","1","3","Brighton & Hove Albion","31,010"
"","","Ward-Prowse (74')","","","Lallana (14'), Perraud (35' og), March (56')",""
"27/12/2022","FT","Chelsea","2","0","AFC Bournemouth","40,046"
"","","Havertz (16'), Mount (24')","","","",""
"27/12/2022","FT","Manchester United","3","0","Nottingham Forest","73,608"
"","","Rashford (20'), Martial (23'), Fred (87')","","","",""
"28/12/2022","FT","Leeds United","1","3","Manchester City","36,889"
"","","Koch (73')","","","Rodri (45'), Braut Haaland (51', 64')",""
"30/12/2022","FT","Liverpool","2","1","Leicester City","53,343"
"","","Faes (38' og, 45' og)","","","Dewsbury-Hall (5')",""
"30/12/2022","FT","West Ham United","0","2","Brentford","62,467"
"","","","","","Toney (19'), Da Silva (43')",""
"31/12/2022","FT","AFC Bournemouth","0","2","Crystal Palace","9,972"
"","","","","","Ayew (19'), Eze (36')",""
"31/12/2022","FT","Brighton & Hove Albion","2","4","Arsenal","31,647"
"","","Mitoma (65'), Ferguson (77')","","","Saka (2'), Ødegaard (39'), Nketiah (47'), Martinelli (71')",""
"31/12/2022","FT","Fulham","2","1","Southampton","24,344"
"","","Pereira (33'), Palhinha (89')","","","Ward-Prowse (56')",""
"31/12/2022","FT","Manchester City","1","1","Everton","53,444"
"","","Braut Haaland (24')","","","Gray (64')",""
"31/12/2022","FT","Newcastle United","0","0","Leeds United","52,211"
"31/12/2022","FT","Wolverhampton Wanderers","0","1","Manchester United","31,658"
"","","","","","Rashford (77')",""
