"Date","Status","Home","Score","","Away","Attd"
"19/10/2022","FT","Newcastle United","1","0","Everton","52,247"
"","","Almiron (31')","","","",""
"20/10/2022","FT","Fulham","3","0","Aston Villa","23,508"
"","","Reed (36'), Mitrovic (67' pen), Mings (84' og)","","","",""
"20/10/2022","FT","Leicester City","2","0","Leeds United","30,814"
"","","Koch (17' og), Barnes (35')","","","",""
"22/10/2022","FT","Chelsea","1","1","Manchester United","39,503"
"","","Jorginho (87' pen)","","","Casemiro (90')",""
"22/10/2022","FT","Everton","3","0","Crystal Palace","38,939"
"","","Calvert-Lewin (11'), Gordon (65'), McNeil (85')","","","",""
"22/10/2022","FT","Manchester City","3","1","Brighton & Hove Albion","53,223"
"","","Braut Haaland (22', 43' pen), De Bruyne (75')","","","Trossard (53')",""
"22/10/2022","FT","Nottingham Forest","1","0","Liverpool","29,245"
"","","Awoniyi (55')","","","",""
"23/10/2022","FT","Aston Villa","4","0","Brentford","41,693"
"","","Bailey (2'), Ings (8', 14' pen), Watkins (59')","","","",""
"23/10/2022","FT","Leeds United","2","3","Fulham","36,447"
"","","Rodrigo (20'), Summerville (90')","","","Mitrovic (26'), Reid (74'), Willian (84')",""
"23/10/2022","FT","Southampton","1","1","Arsenal","31,145"
"","","Armstrong (65')","","","Xhaka (11')",""
"23/10/2022","FT","Tottenham Hotspur","1","2","Newcastle United","61,726"
"","","Kane (54')","","","Wilson (31'), Almiron (41')",""
"23/10/2022","FT","Wolverhampton Wanderers","0","4","Leicester City","31,425"
"","","","","","Tielemans (8'), Barnes (19'), Maddison (66'), Vardy (80')",""
"24/10/2022","FT","West Ham United","2","0","AFC Bournemouth","62,447"
"","","Zouma (45'), Benrahma (90' pen)","","","",""
"29/10/2022","FT","AFC Bournemouth","2","3","Tottenham Hotspur","10,430"
"","","Moore (22', 50')","","","Sessegnon (57'), Davies (73'), Bentancur (90')",""
"29/10/2022","FT","Brentford","1","1","Wolverhampton Wanderers","17,051"
"","","Mee (51')","","","Neves (52')",""
"29/10/2022","FT","Brighton & Hove Albion","4","1","Chelsea","31,746"
"","","Trossard (5'), Loftus-Cheek (15' og), Chalobah (43' og), Gro (90')","","","Havertz (48')",""
"29/10/2022","FT","Crystal Palace","1","0","Southampton","25,130"
"","","Edouard (39')","","","",""
"29/10/2022","FT","Fulham","0","0","Everton","23,534"
"29/10/2022","FT","Leicester City","0","1","Manchester City","32,223"
"","","","","","De Bruyne (49')",""
"29/10/2022","FT","Liverpool","1","2","Leeds United","53,274"
"","","Salah (14')","","","Rodrigo (4'), Summerville (89')",""
"29/10/2022","FT","Newcastle United","4","0","Aston Villa","52,233"
"","","Wilson (45' pen, 56'), Joelinton (59'), Almiron (68')","","","",""
"30/10/2022","FT","Arsenal","5","0","Nottingham Forest","60,263"
"","","Martinelli (5'), Nelson (50', 53'), Partey (57'), Ødegaard (78')","","","",""
"30/10/2022","FT","Manchester United","1","0","West Ham United","73,682"
"","","Rashford (38')","","","",""
