"Date","Status","Home","Score","","Away","Attd"
"1/10/2022","FT","AFC Bournemouth","0","0","Brentford","10,126"
"1/10/2022","FT","Arsenal","3","1","Tottenham Hotspur","60,278"
"","","Partey (20'), Jesus (49'), Xhaka (67')","","","Kane (30' pen)",""
"1/10/2022","FT","Crystal Palace","1","2","Chelsea","25,198"
"","","Edouard (8')","","","Aubameyang (39'), Gallagher (90')",""
"1/10/2022","FT","Fulham","1","4","Newcastle United","22,913"
"","","Reid (89')","","","Wilson (11'), Almiron (33', 58'), Longstaff (43')",""
"1/10/2022","FT","Liverpool","3","3","Brighton & Hove Albion","53,320"
"","","Firmino (35', 54'), Webster (63' og)","","","Trossard (5', 18', 84')",""
"1/10/2022","FT","Southampton","1","2","Everton","30,510"
"","","Aribo (50')","","","Coady (52'), McNeil (55')",""
"1/10/2022","FT","West Ham United","2","0","Wolverhampton Wanderers","62,444"
"","","Scamacca (29'), Bowen (54')","","","",""
"2/10/2022","FT","Leeds United","0","0","Aston Villa","36,582"
"2/10/2022","FT","Manchester City","6","3","Manchester United","53,475"
"","","Foden (8', 44', 73'), Braut Haaland (34', 38', 64')","","","Santos (56'), Martial (84', 90' pen)",""
"3/10/2022","FT","Leicester City","4","0","Nottingham Forest","32,202"
"","","Maddison (25', 35'), Barnes (27'), Daka (73')","","","",""
"8/10/2022","FT","AFC Bournemouth","2","1","Leicester City","10,272"
"","","Billing (68'), Christie (71')","","","Daka (10')",""
"8/10/2022","FT","Brighton & Hove Albion","0","1","Tottenham Hotspur","31,498"
"","","","","","Kane (22')",""
"8/10/2022","FT","Chelsea","3","0","Wolverhampton Wanderers","39,940"
"","","Havertz (45'), Pulisic (54'), Broja (90')","","","",""
"8/10/2022","FT","Manchester City","4","0","Southampton","53,365"
"","","Cancelo (20'), Foden (32'), Mahrez (49'), Braut Haaland (65')","","","",""
"8/10/2022","FT","Newcastle United","5","1","Brentford","52,067"
"","","Guimaraes (22', 57'), Murphy (29'), Almiron (82'), Pinnock (90' og)","","","Toney (53' pen)",""
"9/10/2022","FT","Arsenal","3","2","Liverpool","59,968"
"","","Martinelli (2'), Saka (45', 76' pen)","","","Nuñez (34'), Firmino (53')",""
"9/10/2022","FT","Crystal Palace","2","1","Leeds United","25,042"
"","","Edouard (24'), Eze (76')","","","Struijk (10')",""
"9/10/2022","FT","Everton","1","2","Manchester United","39,258"
"","","Iwobi (5')","","","Santos (15'), Ronaldo (44')",""
"9/10/2022","FT","West Ham United","3","1","Fulham","62,454"
"","","Bowen (27' pen), Scamacca (63'), Antonio (90')","","","Pereira (5')",""
"10/10/2022","FT","Nottingham Forest","1","1","Aston Villa","29,208"
"","","Dennis (15')","","","Young (22')",""
"14/10/2022","FT","Brentford","2","0","Brighton & Hove Albion","17,016"
"","","Toney (28', 62' pen)","","","",""
"15/10/2022","FT","Fulham","2","2","AFC Bournemouth","22,541"
"","","Diop (22'), Mitrovic (51' pen)","","","Solanke (2'), Lerma (29')",""
"15/10/2022","FT","Leicester City","0","0","Crystal Palace","31,298"
"15/10/2022","FT","Tottenham Hotspur","2","0","Everton","61,812"
"","","Kane (58' pen), Højbjerg (86')","","","",""
"15/10/2022","FT","Wolverhampton Wanderers","1","0","Nottingham Forest","31,554"
"","","Neves (55' pen)","","","",""
"16/10/2022","FT","Aston Villa","0","2","Chelsea","41,754"
"","","","","","Mount (6', 65')",""
"16/10/2022","FT","Leeds United","0","1","Arsenal","36,700"
"","","","","","Saka (35')",""
"16/10/2022","FT","Liverpool","1","0","Manchester City","53,286"
"","","Salah (76')","","","",""
"16/10/2022","FT","Manchester United","0","0","Newcastle United","73,726"
"16/10/2022","FT","Southampton","1","1","West Ham United","29,159"
"","","Perraud (21')","","","Rice (65')",""
"18/10/2022","FT","Brighton & Hove Albion","0","0","Nottingham Forest","31,463"
"18/10/2022","FT","Crystal Palace","2","1","Wolverhampton Wanderers","25,125"
"","","Eze (47'), Zaha (71')","","","Traore (31')",""
"19/10/2022","FT","AFC Bournemouth","0","1","Southampton","10,405"
"","","","","","Adams (9')",""
"19/10/2022","FT","Brentford","0","0","Chelsea","17,118"
"19/10/2022","FT","Liverpool","1","0","West Ham United","53,346"
"","","Nuñez (22')","","","",""
"19/10/2022","FT","Manchester United","2","0","Tottenham Hotspur","73,677"
"","","Fred (47'), Fernandes (69')","","","",""
