"Date","Status","Home","Score","","Away","Attd"
"3/2/2023","FT","Chelsea","0","0","Fulham","40,041"
"4/2/2023","FT","Aston Villa","2","4","Leicester City","42,055"
"","","Watkins (9'), Souttar (31' og)","","","Maddison (12'), Iheanacho (41'), Tete (45'), Praet (79')",""
"4/2/2023","FT","Brentford","3","0","Southampton","17,051"
"","","Mee (41'), Jensen (80')","","","",""
"4/2/2023","FT","Brighton & Hove Albion","1","0","AFC Bournemouth","31,600"
"","","Mitoma (87')","","","",""
"4/2/2023","FT","Everton","1","0","Arsenal","39,314"
"","","Tarkowski (60')","","","",""
"4/2/2023","FT","Manchester United","2","1","Crystal Palace","73,420"
"","","Fernandes (6' pen), Rashford (62')","","","Schlupp (76')",""
"4/2/2023","FT","Newcastle United","1","1","West Ham United","52,256"
"","","Wilson (3')","","","Paqueta (32')",""
"4/2/2023","FT","Wolverhampton Wanderers","3","0","Liverpool","31,664"
"","","Hwang (5'), Dawson (12'), Neves (72')","","","",""
"5/2/2023","FT","Nottingham Forest","1","0","Leeds United","29,363"
"","","Johnson (14')","","","",""
"5/2/2023","FT","Tottenham Hotspur","1","0","Manchester City","61,747"
"","","Kane (15')","","","",""
"8/2/2023","FT","Manchester United","2","2","Leeds United","73,456"
"","","Rashford (62'), Sancho (70')","","","Gnonto (2'), Summerville (48')",""
"11/2/2023","FT","AFC Bournemouth","1","1","Newcastle United","10,419"
"","","Senesi (30')","","","Almiron (45')",""
"11/2/2023","FT","Arsenal","1","1","Brentford","60,254"
"","","Trossard (67')","","","Toney (74')",""
"11/2/2023","FT","Crystal Palace","1","1","Brighton & Hove Albion","24,827"
"","","Tomkins (70')","","","March (64')",""
"11/2/2023","FT","Fulham","2","0","Nottingham Forest","24,244"
"","","Willian (17'), Solomon (88')","","","",""
"11/2/2023","FT","Leicester City","4","1","Tottenham Hotspur","32,184"
"","","Mendy (23'), Maddison (25'), Iheanacho (45'), Barnes (81')","","","Bentancur (14')",""
"11/2/2023","FT","Southampton","1","2","Wolverhampton Wanderers","29,751"
"","","Alcaraz (25')","","","Bednarek (73' og), Gomes (88')",""
"11/2/2023","FT","West Ham United","1","1","Chelsea","62,471"
"","","Palmieri (28')","","","Felix (16')",""
"12/2/2023","FT","Leeds United","0","2","Manchester United","36,919"
"","","","","","Rashford (80'), Garnacho (85')",""
"12/2/2023","FT","Manchester City","3","1","Aston Villa","53,392"
"","","Rodri (4'), Gundogan (39'), Mahrez (45' pen)","","","Watkins (61')",""
"13/2/2023","FT","Liverpool","2","0","Everton","53,027"
"","","Salah (37'), Gakpo (49')","","","",""
"15/2/2023","FT","Arsenal","1","3","Manchester City","60,276"
"","","Saka (41' pen)","","","De Bruyne (24'), Grealish (72'), Braut Haaland (82')",""
"18/2/2023","FT","Aston Villa","2","4","Arsenal","42,066"
"","","Watkins (6'), Coutinho (32')","","","Saka (16'), Zinchenko (62'), Jorginho (90'), Martinelli (90')",""
"18/2/2023","FT","Brentford","1","1","Crystal Palace","17,122"
"","","Janelt (90')","","","Eze (69')",""
"18/2/2023","FT","Brighton & Hove Albion","0","1","Fulham","31,619"
"","","","","","Solomon (88')",""
"18/2/2023","FT","Chelsea","0","1","Southampton","40,152"
"","","","","","Ward-Prowse (45')",""
"18/2/2023","FT","Everton","1","0","Leeds United","39,232"
"","","Coleman (64')","","","",""
"18/2/2023","FT","Newcastle United","0","2","Liverpool","52,271"
"","","","","","Nuñez (10'), Gakpo (17')",""
"18/2/2023","FT","Nottingham Forest","1","1","Manchester City","29,365"
"","","Wood (84')","","","Silva (42')",""
"18/2/2023","FT","Wolverhampton Wanderers","0","1","AFC Bournemouth","31,222"
"","","","","","Tavernier (49')",""
"19/2/2023","FT","Manchester United","3","0","Leicester City","73,578"
"","","Rashford (25', 58'), Sancho (62')","","","",""
"19/2/2023","FT","Tottenham Hotspur","2","0","West Ham United","61,476"
"","","Emerson (56'), Son (72')","","","",""
"24/2/2023","FT","Fulham","1","1","Wolverhampton Wanderers","24,399"
"","","Solomon (64')","","","Sarabia (24')",""
"25/2/2023","FT","AFC Bournemouth","1","4","Manchester City","10,481"
"","","Lerma (83')","","","Álvarez (15', 51'), Braut Haaland (29'), Foden (45')",""
"25/2/2023","FT","Crystal Palace","0","0","Liverpool","25,842"
"25/2/2023","FT","Everton","0","2","Aston Villa","39,309"
"","","","","","Watkins (63' pen), Buendia (81')",""
"25/2/2023","FT","Leeds United","1","0","Southampton","36,641"
"","","Firpo (77')","","","",""
"25/2/2023","FT","Leicester City","0","1","Arsenal","32,227"
"","","","","","Martinelli (46')",""
"25/2/2023","FT","West Ham United","4","0","Nottingham Forest","62,469"
"","","Ings (71', 73'), Rice (78'), Antonio (85')","","","",""
"26/2/2023","FT","Tottenham Hotspur","2","0","Chelsea","61,613"
"","","Skipp (46'), Kane (82')","","","",""
