"Date","Status","Home","Score","","Away","Attd"
"1/1/2023","FT","Nottingham Forest","1","1","Chelsea","29,229"
"","","Aurier (63')","","","Sterling (16')",""
"1/1/2023","FT","Tottenham Hotspur","0","2","Aston Villa","61,651"
"","","","","","Buendia (50'), Luiz (73')",""
"2/1/2023","FT","Brentford","3","1","Liverpool","17,163"
"","","Mee (19'), Wissa (42')","","","Oxlade-Chamberlain (50')",""
"3/1/2023","FT","Arsenal","0","0","Newcastle United","60,319"
"3/1/2023","FT","Everton","1","4","Brighton & Hove Albion",""
"","","Gray (90' pen)","","","Mitoma (15'), Ferguson (51'), March (54'), Gro (57')",""
"3/1/2023","FT","Leicester City","0","1","Fulham","30,813"
"","","","","","Mitrovic (18')",""
"3/1/2023","FT","Manchester United","3","0","AFC Bournemouth","73,322"
"","","Casemiro (23'), Shaw (49'), Rashford (86')","","","",""
"4/1/2023","FT","Aston Villa","1","1","Wolverhampton Wanderers","39,978"
"","","Ings (78')","","","Podence (12')",""
"4/1/2023","FT","Crystal Palace","0","4","Tottenham Hotspur","25,132"
"","","","","","Kane (48', 54'), Doherty (68'), Son (73')",""
"4/1/2023","FT","Leeds United","2","2","West Ham United","36,173"
"","","Gnonto (28'), Rodrigo (70')","","","Paqueta (44' pen), Scamacca (46')",""
"4/1/2023","FT","Southampton","0","1","Nottingham Forest","30,150"
"","","","","","Awoniyi (27')",""
"5/1/2023","FT","Chelsea","0","1","Manchester City","39,998"
"","","","","","Mahrez (63')",""
"12/1/2023","FT","Fulham","2","1","Chelsea","24,460"
"","","Willian (25'), Vinícius (73')","","","Koulibaly (48')",""
"13/1/2023","FT","Aston Villa","2","1","Leeds United","42,008"
"","","Bailey (3'), Buendia (66')","","","Bamford (83')",""
"14/1/2023","FT","Brentford","2","0","AFC Bournemouth","17,031"
"","","Toney (37' pen), Jensen (75')","","","",""
"14/1/2023","FT","Brighton & Hove Albion","3","0","Liverpool","31,645"
"","","March (47', 53'), Welbeck (82')","","","",""
"14/1/2023","FT","Everton","1","2","Southampton","39,305"
"","","Onana (39')","","","Ward-Prowse (46', 78')",""
"14/1/2023","FT","Manchester United","2","1","Manchester City","75,546"
"","","Fernandes (80'), Rashford (83')","","","Grealish (60')",""
"14/1/2023","FT","Nottingham Forest","2","0","Leicester City","29,301"
"","","Johnson (56', 85')","","","",""
"14/1/2023","FT","Wolverhampton Wanderers","1","0","West Ham United","31,511"
"","","Podence (48')","","","",""
"15/1/2023","FT","Chelsea","1","0","Crystal Palace","40,075"
"","","Havertz (64')","","","",""
"15/1/2023","FT","Newcastle United","1","0","Fulham","52,247"
"","","Isak (89')","","","",""
"15/1/2023","FT","Tottenham Hotspur","0","2","Arsenal","61,870"
"","","","","","Saka (15'), Ødegaard (36')",""
"18/1/2023","FT","Crystal Palace","1","1","Manchester United","25,243"
"","","Olise (90')","","","Fernandes (44')",""
"19/1/2023","FT","Manchester City","4","2","Tottenham Hotspur","53,088"
"","","Álvarez (52'), Braut Haaland (54'), Mahrez (64', 90')","","","Kulusevski (45'), Emerson (45')",""
"21/1/2023","FT","AFC Bournemouth","1","1","Nottingham Forest","10,248"
"","","Anthony (29')","","","Surridge (84')",""
"21/1/2023","FT","Crystal Palace","0","0","Newcastle United","25,350"
"21/1/2023","FT","Leicester City","2","2","Brighton & Hove Albion","32,056"
"","","Albrighton (39'), Barnes (63')","","","Mitoma (27'), Ferguson (88')",""
"21/1/2023","FT","Liverpool","0","0","Chelsea","53,126"
"21/1/2023","FT","Southampton","0","1","Aston Villa","30,158"
"","","","","","Watkins (78')",""
"21/1/2023","FT","West Ham United","2","0","Everton","62,470"
"","","Bowen (35', 42')","","","",""
"22/1/2023","FT","Arsenal","3","2","Manchester United","60,325"
"","","Nketiah (24', 90'), Saka (53')","","","Rashford (17'), Martinez (59')",""
"22/1/2023","FT","Leeds United","0","0","Brentford","36,260"
"22/1/2023","FT","Manchester City","3","0","Wolverhampton Wanderers","53,282"
"","","Braut Haaland (40', 49' pen, 55')","","","",""
"23/1/2023","FT","Fulham","0","1","Tottenham Hotspur","24,190"
"","","","","","Kane (45')",""
