"Match","Position","Points"
"1","16","0"
"2","16","0"
"3","16","1"
"4","17","2"
"5","15","3"
"6","16","4"
"7","13","7"
"8","11","10"
"9","12","10"
"10","14","10"
"11","15","10"
"12","11","13"
"13","12","14"
"14","15","14"
"15","17","14"
"16","17","14"
"17","16","15"
"18","16","15"
"19","19","15"
"20","19","15"
"21","18","18"
"22","18","18"
"23","16","21"
"24","18","21"
"25","18","21"
"26","18","22"
"27","15","25"
"28","15","26"
"29","15","27"
"30","17","27"
"31","17","27"
"32","18","28"
"33","19","28"
"34","19","29"
"35","17","32"
"36","17","32"
"37","17","33"
"38","17","36"
