"Match","Position","Points"
"1","16","0"
"2","20","0"
"3","20","0"
"4","18","1"
"5","18","1"
"6","15","4"
"7","16","4"
"8","15","7"
"9","16","7"
"10","15","10"
"11","15","11"
"12","14","14"
"13","14","14"
"14","11","17"
"15","10","20"
"16","10","23"
"17","9","26"
"18","10","26"
"19","10","26"
"20","12","26"
"21","12","27"
"22","12","28"
"23","12","29"
"24","13","29"
"25","12","30"
"26","13","31"
"27","13","31"
"28","14","31"
"29","14","31"
"30","14","32"
"31","14","35"
"32","14","35"
"33","14","38"
"34","14","41"
"35","13","44"
"36","12","45"
"37","11","48"
"38","12","48"
