"Match","Position","Points"
"1","5","3"
"2","8","4"
"3","12","4"
"4","15","4"
"5","18","4"
"6","13","7"
"7","16","7"
"8","16","8"
"9","18","8"
"10","18","8"
"11","15","11"
"12","16","12"
"13","16","12"
"14","13","15"
"15","10","18"
"16","10","19"
"17","10","22"
"18","9","25"
"19","9","26"
"20","9","27"
"21","9","27"
"22","9","27"
"23","9","27"
"24","9","28"
"25","9","31"
"26","10","31"
"27","9","34"
"28","9","34"
"29","10","34"
"30","9","37"
"31","9","40"
"32","9","40"
"33","9","41"
"34","9","42"
"35","8","45"
"36","8","48"
"37","8","49"
"38","8","49"
