"Match","Position","Points"
"1","12","1"
"2","13","1"
"3","16","1"
"4","10","4"
"5","13","5"
"6","14","5"
"7","15","5"
"8","16","5"
"9","16","6"
"10","16","7"
"11","16","7"
"12","17","8"
"13","17","8"
"14","18","9"
"15","18","9"
"16","19","9"
"17","17","12"
"18","16","15"
"19","16","15"
"20","17","15"
"21","18","16"
"22","16","19"
"23","15","22"
"24","16","23"
"25","16","24"
"26","18","24"
"27","18","24"
"28","17","27"
"29","17","27"
"30","16","30"
"31","16","33"
"32","16","33"
"33","16","36"
"34","16","36"
"35","16","37"
"36","16","38"
"37","16","38"
"38","16","39"
