"Match","Position","Points"
"1","20","0"
"2","15","1"
"3","12","4"
"4","14","4"
"5","7","7"
"6","12","7"
"7","12","7"
"8","16","7"
"9","16","7"
"10","18","8"
"11","14","11"
"12","15","12"
"13","17","12"
"14","18","12"
"15","19","12"
"16","20","12"
"17","20","12"
"18","20","12"
"19","20","15"
"20","20","15"
"21","20","15"
"22","20","15"
"23","20","18"
"24","20","18"
"25","19","21"
"26","20","22"
"27","20","22"
"28","20","23"
"29","20","23"
"30","20","23"
"31","20","23"
"32","20","24"
"33","20","24"
"34","20","24"
"35","20","24"
"36","20","24"
"37","20","24"
"38","20","25"
