"Match","Position","Points"
"1","7","1"
"2","3","4"
"3","7","5"
"4","7","6"
"5","10","6"
"6","13","6"
"7","13","7"
"8","14","7"
"9","14","10"
"10","10","13"
"11","9","16"
"12","11","16"
"13","11","16"
"14","10","19"
"15","11","19"
"16","12","19"
"17","13","19"
"18","15","19"
"19","17","19"
"20","15","22"
"21","16","22"
"22","16","22"
"23","15","25"
"24","15","25"
"25","15","25"
"26","16","25"
"27","16","26"
"28","16","26"
"29","16","26"
"30","16","27"
"31","17","28"
"32","16","29"
"33","15","32"
"34","14","35"
"35","16","35"
"36","16","36"
"37","16","39"
"38","16","39"
