"Match","Position","Points"
"1","13","0"
"2","20","0"
"3","14","3"
"4","7","6"
"5","5","9"
"6","5","12"
"7","6","12"
"8","5","15"
"9","5","16"
"10","5","19"
"11","5","20"
"12","5","23"
"13","5","23"
"14","5","26"
"15","5","29"
"16","4","32"
"17","4","35"
"18","3","38"
"19","3","39"
"20","4","39"
"21","3","42"
"22","3","43"
"23","3","46"
"24","3","49"
"25","3","49"
"26","3","50"
"27","4","50"
"28","4","53"
"29","4","56"
"30","3","59"
"31","4","60"
"32","4","63"
"33","4","63"
"34","4","63"
"35","4","66"
"36","4","69"
"37","3","72"
"38","3","75"
