"Match","Position","Points"
"1","7","3"
"2","10","3"
"3","6","6"
"4","11","6"
"5","13","6"
"6","8","9"
"7","10","9"
"8","10","12"
"9","8","15"
"10","8","15"
"11","8","18"
"12","6","21"
"13","6","24"
"14","7","24"
"15","6","27"
"16","6","27"
"17","7","28"
"18","8","28"
"19","6","31"
"20","7","31"
"21","7","32"
"22","7","35"
"23","6","38"
"24","6","41"
"25","6","44"
"26","6","44"
"27","6","44"
"28","6","47"
"29","6","48"
"30","6","48"
"31","6","49"
"32","7","50"
"33","6","53"
"34","6","54"
"35","8","54"
"36","8","54"
"37","8","57"
"38","8","60"
