"Match","Position","Points"
"1","1","3"
"2","1","6"
"3","1","9"
"4","1","10"
"5","2","13"
"6","2","16"
"7","2","19"
"8","2","20"
"9","2","20"
"10","2","23"
"11","2","23"
"12","2","26"
"13","2","29"
"14","2","32"
"15","2","35"
"16","2","35"
"17","2","38"
"18","2","41"
"19","2","42"
"20","2","43"
"21","3","44"
"22","2","47"
"23","2","50"
"24","2","53"
"25","2","53"
"26","2","56"
"27","2","56"
"28","2","59"
"29","2","62"
"30","2","65"
"31","2","68"
"32","2","71"
"33","2","71"
"34","2","74"
"35","2","77"
"36","2","77"
"37","2","78"
"38","2","81"
