"Match","Position","Points"
"1","8","1"
"2","14","1"
"3","13","2"
"4","9","5"
"5","9","8"
"6","10","9"
"7","8","12"
"8","7","15"
"9","8","15"
"10","9","15"
"11","11","15"
"12","11","16"
"13","11","16"
"14","11","16"
"15","12","19"
"16","10","22"
"17","7","25"
"18","7","25"
"19","10","26"
"20","7","29"
"21","9","29"
"22","11","29"
"23","8","32"
"24","7","35"
"25","7","38"
"26","7","39"
"27","8","40"
"28","8","40"
"29","7","43"
"30","7","44"
"31","7","44"
"32","7","47"
"33","8","47"
"34","9","48"
"35","7","51"
"36","7","54"
"37","7","57"
"38","7","57"
