"Match","Position","Points"
"1","15","0"
"2","13","1"
"3","17","1"
"4","19","2"
"5","18","3"
"6","14","6"
"7","16","6"
"8","18","6"
"9","18","6"
"10","17","9"
"11","17","9"
"12","19","9"
"13","19","10"
"14","19","10"
"15","20","10"
"16","18","13"
"17","18","13"
"18","19","14"
"19","16","17"
"20","17","17"
"21","15","20"
"22","15","23"
"23","15","23"
"24","15","24"
"25","15","24"
"26","13","27"
"27","13","27"
"28","13","27"
"29","13","28"
"30","12","31"
"31","13","34"
"32","13","34"
"33","13","37"
"34","13","37"
"35","13","40"
"36","13","40"
"37","13","41"
"38","13","41"
