"Match","Position","Points"
"1","19","0"
"2","18","0"
"3","17","1"
"4","13","4"
"5","14","4"
"6","13","7"
"7","14","7"
"8","14","8"
"9","10","11"
"10","12","12"
"11","8","15"
"12","9","16"
"13","9","16"
"14","10","17"
"15","11","17"
"16","13","17"
"17","13","17"
"18","13","18"
"19","12","21"
"20","12","21"
"21","12","22"
"22","12","23"
"23","15","23"
"24","16","23"
"25","15","24"
"26","13","27"
"27","13","28"
"28","12","31"
"29","10","34"
"30","11","34"
"31","13","34"
"32","13","35"
"33","13","35"
"34","13","36"
"35","14","37"
"36","11","40"
"37","14","40"
"38","15","40"
