"Match","Position","Points"
"1","2","3"
"2","1","6"
"3","4","6"
"4","4","9"
"5","4","12"
"6","3","15"
"7","6","15"
"8","6","16"
"9","7","16"
"10","7","17"
"11","7","18"
"12","8","19"
"13","7","22"
"14","8","22"
"15","8","25"
"16","8","26"
"17","9","26"
"18","8","27"
"19","8","30"
"20","7","31"
"21","7","32"
"22","8","32"
"23","7","35"
"24","9","35"
"25","7","38"
"26","7","39"
"27","9","39"
"28","8","42"
"29","9","42"
"30","9","43"
"31","10","43"
"32","10","44"
"33","11","44"
"34","12","44"
"35","11","47"
"36","10","48"
"37","10","48"
"38","11","48"
