"Match","Position","Points"
"1","17","0"
"2","11","3"
"3","12","3"
"4","12","4"
"5","14","5"
"6","13","5"
"7","14","5"
"8","12","8"
"9","12","11"
"10","11","14"
"11","12","14"
"12","12","14"
"13","12","15"
"14","11","18"
"15","10","21"
"16","11","21"
"17","13","21"
"18","13","21"
"19","13","22"
"20","13","25"
"21","13","26"
"22","13","26"
"23","13","26"
"24","13","26"
"25","13","27"
"26","14","27"
"27","16","27"
"28","15","30"
"29","15","33"
"30","15","33"
"31","15","33"
"32","17","33"
"33","17","33"
"34","17","34"
"35","17","34"
"36","17","35"
"37","17","36"
"38","17","36"
