"Match","Position","Points"
"1","11","1"
"2","4","4"
"3","4","7"
"4","3","10"
"5","3","13"
"6","2","16"
"7","4","16"
"8","4","17"
"9","3","20"
"10","4","23"
"11","3","24"
"12","2","27"
"13","3","28"
"14","2","31"
"15","2","34"
"16","1","37"
"17","2","38"
"18","2","39"
"19","1","42"
"20","1","45"
"21","1","48"
"22","1","51"
"23","1","51"
"24","1","54"
"25","1","57"
"26","1","60"
"27","1","63"
"28","2","64"
"29","1","67"
"30","1","70"
"31","2","71"
"32","3","71"
"33","2","74"
"34","2","74"
"35","3","75"
"36","3","78"
"37","3","79"
"38","3","82"
